"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12411;10043;9049;8206;7650;6332;5355;4164;3327;2655;1819;1199;836;73046
"35002 FERNANDOPOLIS";8518;7127;6305;5617;5157;4164;3511;2654;2204;1741;1149;759;561;49467
"35003 VOTUPORANGA";10048;8198;7276;6477;5959;4805;4205;3265;2611;2069;1417;902;645;57877
"35004 SAO JOSE DO RIO PRETO";43294;36219;31410;26988;24770;21558;18952;14546;11832;9241;6308;4169;3206;252493
"35005 CATANDUVA";14338;12221;10107;8675;8215;7226;6628;5149;4208;3464;2308;1455;1150;85144
"35006 AURIFLAMA";3872;3184;2734;2422;2258;1843;1558;1159;914;750;508;296;252;21750
"35007 NHANDEARA";5196;4314;3814;3423;3220;2685;2284;1774;1542;1217;847;578;428;31322
"35008 NOVO HORIZONTE";6381;5335;4378;3756;3512;3044;2749;2183;1687;1343;906;566;428;36268
"35009 BARRETOS";8963;7345;6348;5552;5161;4524;3963;3098;2612;1999;1490;874;722;52651
"35010 SAO JOAQUIM DA BARRA";14289;11958;10394;8427;7531;6220;5252;4052;3305;2521;1661;1055;737;77402
"35011 ITUVERAVA";6925;5576;4960;4307;3990;3335;2811;2154;1829;1490;923;627;478;39405
"35012 FRANCA";22538;18903;15911;12778;11594;9396;7935;6077;4820;3670;2434;1571;1158;118785
"35013 JABOTICABAL";26682;22736;19276;16018;14559;12181;11277;8929;7299;5775;3927;2610;2014;153283
"35014 RIBEIRAO PRETO";57571;50651;42060;34627;30769;25945;22784;17620;13993;11083;7348;4725;3518;322694
"35015 BATATAIS";7406;6338;5316;4422;4085;3499;3061;2451;2020;1528;1043;749;535;42453
"35016 ANDRADINA";14168;11910;10561;9180;8139;6609;5571;4466;3601;2865;1922;1212;929;81133
"35017 ARACATUBA";17313;14625;12545;10856;10024;8096;7092;5735;4549;3691;2450;1577;1261;99814
"35018 BIRIGUI";16805;13638;11515;9935;9039;7764;6768;5286;4270;3284;2257;1491;1118;93170
"35019 LINS";11555;9167;7727;6588;6327;5746;5249;4157;3518;2705;1859;1196;969;66763
"35020 BAURU";34997;30041;24712;20685;19347;16818;15066;11999;9750;7702;4955;3350;2551;201973
"35021 JAU";21645;18258;14854;12285;11514;10305;9412;7439;6206;4944;3351;2231;1771;124215
"35022 AVARE";9889;8444;7053;6013;5401;4633;4042;3287;2719;2181;1435;929;716;56742
"35023 BOTUCATU";11408;9518;8200;6781;6417;5755;5236;4285;3601;2893;2053;1317;1008;68472
"35024 ARARAQUARA";29725;26019;21286;17759;16065;14065;12482;9958;8014;6385;4398;2898;2235;171289
"35025 SAO CARLOS";17989;15349;12597;10424;9601;8190;7556;6027;5050;3990;2773;1890;1450;102886
"35026 RIO CLARO";13779;11721;10353;8766;7964;7028;6731;5479;4662;3719;2510;1675;1345;85732
"35027 LIMEIRA";34152;28996;24214;19434;16939;14374;12866;9777;7718;5837;3761;2389;1766;182223
"35028 PIRACICABA";32455;28663;24180;19487;17491;14783;13422;10515;8867;6679;4617;2931;2276;186366
"35029 PIRASSUNUNGA";11088;9377;8288;6739;6123;5247;4836;3811;3063;2330;1549;986;749;64186
"35030 SAO JOAO DA BOA VISTA";29804;24805;20772;17469;16285;14141;13117;10376;8697;6860;4616;3141;2193;172276
"35031 MOJI MIRIM";21654;18673;15619;12734;11230;9335;8291;6446;5189;4071;2735;1719;1255;118951
"35032 CAMPINAS";140132;125542;102907;82175;70373;57847;50226;38200;29540;22589;14617;9299;6854;750301
"35033 AMPARO";10810;9541;8234;6811;6383;5436;5302;4396;3681;3093;2122;1346;1076;68231
"35034 DRACENA";10119;7762;6736;6033;5742;4992;4376;3293;2550;2074;1424;962;685;56748
"35035 ADAMANTINA";15139;11597;10150;9267;8746;7764;6781;5148;4223;3278;2201;1428;1128;86850
"35036 PRESIDENTE PRUDENTE";40032;32675;27895;24446;22244;19084;16116;12498;9663;7654;5024;3275;2530;223136
"35037 TUPA";9086;7283;6172;5553;5075;4412;3859;3155;2522;1999;1322;928;748;52114
"35038 MARILIA";23106;18724;15917;13422;12206;10983;9701;7704;6333;4876;3291;2176;1616;130055
"35039 ASSIS";16757;14022;12351;10899;9841;8609;7628;6179;5056;4007;2720;1731;1408;101208
"35040 OURINHOS";18533;16070;13916;12211;11097;9703;8405;6626;5489;4454;3043;1926;1528;113001
"35041 ITAPEVA";17155;14335;11870;10363;9171;7743;6617;5337;4301;3349;2126;1304;931;94602
"35042 ITAPETININGA";10765;8938;7464;6258;5660;4940;4263;3645;3030;2363;1560;971;755;60612
"35043 TATUI";11449;9892;8416;7194;6619;5698;5270;4370;3614;2830;1920;1187;903;69362
"35044 CAPAO BONITO";10036;8335;7157;6302;5524;4439;3790;3092;2497;1891;1159;664;447;55333
"35045 PIEDADE";10169;8313;7115;6123;5452;4615;3944;3246;2567;2003;1219;716;535;56017
"35046 SOROCABA";65402;57000;47259;38312;33567;28619;25243;20181;15891;12110;8123;5033;3661;360401
"35047 JUNDIAI";37101;32849;27137;22070;19122;15853;13656;10593;8365;6336;4178;2591;1916;201767
"35048 BRAGANCA PAULISTA";23964;20551;17648;14897;13269;11218;10334;8205;6973;5337;3688;2279;1779;140142
"35049 CAMPOS DO JORDAO";4441;3541;2967;2487;2244;1743;1617;1294;1017;738;478;277;209;23053
"35050 SAO JOSE DOS CAMPOS";80662;74251;61247;47585;38528;29585;24946;19203;15330;11203;7330;4701;3755;418326
"35051 GUARATINGUETA";28901;23916;20234;16757;14483;12169;10804;8644;7191;5469;3532;2312;1839;156251
"35052 BANANAL";2002;1498;1315;1154;1127;933;882;715;618;493;342;231;190;11500
"35053 PARAIBUNA/PARAITINGA";5240;4213;3642;3382;2979;2721;2424;1943;1674;1280;824;513;364;31199
