"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";13254;12121;11014;11345;10976;10142;8717;7525;6438;5437;4045;2986;2398;106398
"35002 FERNANDOPOLIS";9302;8558;7760;7871;7759;7127;5867;4981;4267;3622;2652;1981;1616;73363
"35003 VOTUPORANGA";12168;11256;10098;10392;9971;9039;7592;6473;5203;4333;3173;2433;1985;94116
"35004 SAO JOSE DO RIO PRETO";66544;62571;56590;56556;54184;47718;39322;32157;25551;21645;16357;12558;10229;501982
"35005 CATANDUVA";19765;17902;16515;16461;15179;13502;11453;9143;7442;6613;5178;4096;3245;146494
"35006 AURIFLAMA";4135;3713;3412;3533;3373;2964;2535;2206;1762;1525;1140;838;639;31775
"35007 NHANDEARA";5552;4945;4572;4818;4640;4253;3663;3147;2758;2362;1806;1374;1098;44988
"35008 NOVO HORIZONTE";6767;6145;5635;5724;5493;5047;4406;3590;2902;2491;1989;1589;1228;53006
"35009 BARRETOS";12573;11116;9866;9860;9669;8351;6962;5756;4666;3875;2947;2239;1867;89747
"35010 SAO JOAQUIM DA BARRA";19682;17727;15978;15504;14293;12469;10189;8345;6225;5047;3669;2733;2246;134107
"35011 ITUVERAVA";8909;8083;6887;6808;6572;5886;4882;4031;3255;2732;1988;1450;1245;62728
"35012 FRANCA";34164;31690;29186;28654;26704;23199;18783;14908;10934;8974;6458;4680;3762;242096
"35013 JABOTICABAL";38010;33966;30822;30423;28238;24894;20476;16609;13128;11284;8642;6854;5587;268933
"35014 RIBEIRAO PRETO";93174;84195;73965;71477;67885;59956;48943;38261;28952;24069;18315;14040;11532;634764
"35015 BATATAIS";9566;8560;7395;7397;7200;6592;5583;4487;3447;3026;2343;1817;1538;68951
"35016 ANDRADINA";15872;15569;14476;14020;13114;11325;9765;8340;6795;5534;4036;3098;2579;124523
"35017 ARACATUBA";22882;21282;19624;19631;18725;16172;13348;10775;8630;7369;5397;4131;3569;171535
"35018 BIRIGUI";22415;20815;19482;18954;17775;15684;13048;10734;8587;7084;5384;4054;3348;167364
"35019 LINS";14368;13167;11648;11271;10814;9734;8214;6667;5424;4747;3681;2885;2416;105036
"35020 BAURU";51962;47621;42187;40665;38649;34312;28484;22202;17244;14709;11634;8967;7406;366042
"35021 JAU";31306;28377;25562;25013;23952;21080;17158;13364;10452;9274;7440;5784;4762;223524
"35022 AVARE";16145;14731;12995;12286;11527;10136;8397;6539;5065;4247;3288;2461;2006;109823
"35023 BOTUCATU";18298;16743;14819;14040;13438;12099;10162;8136;6420;5410;4383;3446;2941;130335
"35024 ARARAQUARA";45648;41769;37323;36706;35073;30557;25191;19788;15286;12933;10050;7819;6326;324469
"35025 SAO CARLOS";27851;25818;23328;22195;21287;18767;15258;11963;9165;7918;6173;4867;4015;198605
"35026 RIO CLARO";21853;20477;18070;17349;16763;14618;11850;9693;7601;6444;5212;4321;3678;157929
"35027 LIMEIRA";52960;47583;43149;42438;39750;35141;27981;21533;16094;13219;10085;7748;5972;363653
"35028 PIRACICABA";51125;46430;41207;39638;37794;33048;27763;21885;16392;13673;10649;8510;6882;354996
"35029 PIRASSUNUNGA";16709;14857;13327;13321;12835;10930;9011;7401;5701;4792;3761;2973;2312;117930
"35030 SAO JOAO DA BOA VISTA";37412;33553;30196;30488;29610;26817;22326;17765;13920;12042;9588;7676;6062;277455
"35031 MOJI MIRIM";34953;31334;28551;28188;26573;23365;19139;15036;11364;9108;6904;5266;4148;243929
"35032 CAMPINAS";234453;221801;200663;194153;179666;157370;126267;94932;69744;56386;42045;31935;25482;1634897
"35033 AMPARO";15522;14242;13091;12656;12257;11303;9631;7897;6309;5585;4391;3522;2952;119358
"35034 DRACENA";10213;9099;8350;8409;8055;7371;6246;5283;4502;4001;3100;2370;1922;78921
"35035 ADAMANTINA";14025;12702;11427;11521;11237;10137;8671;7386;6392;5598;4507;3416;2801;109820
"35036 PRESIDENTE PRUDENTE";51373;47628;44309;44844;41408;34923;28919;23804;19337;16159;12247;9175;7423;381549
"35037 TUPA";10037;9128;8273;8356;7893;7119;5863;5031;4220;3697;2835;2221;1873;76546
"35038 MARILIA";29876;28292;25294;24155;23061;20607;17118;13950;10922;9290;7431;5711;4783;220490
"35039 ASSIS";23366;21461;19734;19758;18575;16191;13457;11092;8943;7437;5906;4470;3762;174152
"35040 OURINHOS";25935;22994;20817;20726;19902;17542;15165;12500;9888;8111;6346;4690;3863;188479
"35041 ITAPEVA";22720;19699;17485;16969;15986;13595;11181;8729;6903;5802;4338;3164;2487;149058
"35042 ITAPETININGA";17484;15441;13449;12645;12186;10710;8751;6834;5188;4326;3287;2542;2138;114981
"35043 TATUI";22584;20485;18056;17229;16074;14088;11770;9485;7302;5945;4512;3504;2836;153870
