"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12359;9750;8700;8000;7530;6180;5082;3860;3244;2435;1696;1083;650;70569
"35002 FERNANDOPOLIS";8517;6969;6016;5360;5093;4036;3385;2474;2031;1564;1051;740;516;47752
"35003 VOTUPORANGA";10032;7842;6864;6136;5752;4567;3882;3122;2434;2016;1367;885;599;55498
"35004 SAO JOSE DO RIO PRETO";41771;33206;28285;24424;23059;20339;17776;13424;10655;8623;5915;3805;2393;233675
"35005 CATANDUVA";13856;11516;9277;7932;7804;7044;6574;4653;3763;3161;2274;1335;1032;80221
"35006 AURIFLAMA";3839;3022;2597;2323;2176;1782;1427;1126;765;685;522;303;229;20796
"35007 NHANDEARA";5222;4229;3677;3307;3132;2590;2187;1724;1416;1218;799;532;376;30409
"35008 NOVO HORIZONTE";6500;5248;4205;3556;3410;2999;2739;2067;1586;1207;816;523;388;35244
"35009 BARRETOS";8591;6723;5718;5052;4855;4299;3669;2982;2321;1869;1502;861;695;49137
"35010 SAO JOAQUIM DA BARRA";13953;11284;9718;7790;7089;5909;5052;3766;2893;2461;1517;977;674;73083
"35011 ITUVERAVA";6877;5315;4626;4098;3805;3233;2731;1989;1795;1470;821;566;359;37685
"35012 FRANCA";21340;17257;14243;11230;10498;8643;7419;5449;4495;3253;2204;1366;985;108382
"35013 JABOTICABAL";25402;20997;17540;14431;13553;11455;10975;8257;6773;5238;3645;2377;1861;142504
"35014 RIBEIRAO PRETO";56209;47313;38022;30781;28236;24353;21538;16383;12598;10205;6661;4192;2946;299437
"35015 BATATAIS";7389;6119;5016;4072;3885;3396;2950;2362;1759;1494;1019;614;514;40589
"35016 ANDRADINA";13843;11434;10105;8772;7797;6265;5296;4243;3426;2733;1790;1070;747;77521
"35017 ARACATUBA";16818;13640;11557;10017;9535;7687;6675;5412;4277;3367;2239;1446;1150;93820
"35018 BIRIGUI";16353;12829;10671;9166;8568;7332;6389;5020;3882;3019;2170;1433;937;87769
"35019 LINS";11536;8797;7248;6128;6074;5688;5320;3883;3273;2609;1741;1031;875;64203
"35020 BAURU";34112;28121;22342;18502;18138;16207;14626;11325;8980;7123;4556;3075;2268;189375
"35021 JAU";21178;17110;13406;11001;10873;9991;9304;6795;5638;4668;3150;2021;1559;116694
"35022 AVARE";9594;7937;6433;5413;5026;4438;3892;3010;2540;2146;1240;792;640;53101
