"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";10790;11643;11527;11561;10959;11320;11114;10089;8544;6998;5489;4210;4487;118731
"35002 FERNANDOPOLIS";7755;8474;8630;8181;7835;7949;7777;7108;5713;4663;3655;2780;3180;83700
"35003 VOTUPORANGA";10749;12710;12546;11613;10588;10606;10167;9291;7382;6039;4524;3315;3626;113156
"35004 SAO JOSE DO RIO PRETO";60752;70413;71145;66730;59398;57769;55113;48355;38744;30876;22546;17187;20148;619176
"35005 CATANDUVA";18170;20409;20595;18233;16622;16220;14969;13117;10925;8485;6282;5077;6111;175215
"35006 AURIFLAMA";3655;4105;3923;3542;3357;3494;3304;2922;2432;2005;1489;1150;1240;36618
"35007 NHANDEARA";4939;5955;5910;5254;4849;4957;4736;4187;3553;2850;2307;1788;2028;53313
"35008 NOVO HORIZONTE";6183;7099;6909;6292;5884;5860;5545;5104;4328;3373;2524;1913;2296;63310
"35009 BARRETOS";11097;12499;12339;11164;10053;9594;9491;8091;6545;5091;3844;2857;3257;105922
"35010 SAO JOAQUIM DA BARRA";17939;19713;20048;17846;15805;15090;13923;11960;9444;7513;5090;3699;4063;162133
"35011 ITUVERAVA";7802;8375;8667;7803;6712;6432;6318;5594;4512;3613;2648;2014;2221;72711
"35012 FRANCA";33622;35391;33396;30895;28654;27790;25981;22359;17714;13756;9404;6730;7541;293233
"35013 JABOTICABAL";33789;36710;36533;32676;29646;29011;26946;23923;19285;15212;11102;8541;10417;313791
"35014 RIBEIRAO PRETO";90661;104229;104914;92555;78611;72713;68871;59963;48124;36584;25574;18931;23020;824750
"35015 BATATAIS";9123;9297;9274;8551;7359;7374;7080;6467;5409;4211;3053;2305;2906;82409
"35016 ANDRADINA";14041;14885;14609;15070;14544;13774;13095;11045;9253;7594;5755;4183;4618;142466
"35017 ARACATUBA";19799;23262;24535;22582;20412;19778;18780;15856;12835;9870;7255;5619;6335;206918
"35018 BIRIGUI";21191;23098;23168;21470;20425;19521;18194;15802;12949;10055;7615;5492;6384;205364
"35019 LINS";13225;14003;14332;13266;11952;11437;10776;9590;7774;6095;4513;3514;4195;124672
"35020 BAURU";45753;52381;52676;47911;41986;39595;37679;33450;27393;20499;14858;11156;13894;439231
"35021 JAU";28738;30965;31563;29123;26211;24745;23852;20789;16437;12285;8743;6863;8679;268993
"35022 AVARE";15537;16211;15885;15350;13729;12441;11735;10184;8274;6090;4338;3220;3766;136760
"35023 BOTUCATU";17174;18409;18609;17747;15723;14597;13871;12380;10304;7815;5724;4256;5399;162008
"35024 ARARAQUARA";41930;47776;47294;43426;38166;36795;35011;30111;24295;18576;13083;9855;12094;398412
"35025 SAO CARLOS";25576;28532;29433;26862;24016;22214;21529;18689;15070;11421;8032;6231;7791;245396
"35026 RIO CLARO";20389;22588;22992;21228;18484;17217;16489;14322;11308;8928;6475;4842;6442;191704
"35027 LIMEIRA";49460;55461;55208;49370;44281;42028;39469;34618;27156;20087;14015;10082;12036;453271
"35028 PIRACICABA";46372;51383;53189;47941;42262;39216;37473;32368;26651;20733;14296;10490;13162;435536
"35029 PIRASSUNUNGA";15383;16686;16905;14909;13315;12948;12524;10875;8509;6917;4808;3668;4442;141889
"35030 SAO JOAO DA BOA VISTA";32485;34672;34659;31954;29519;29430;28723;26081;21249;16343;11728;8957;11236;317036
"35031 MOJI MIRIM";32734;35552;36094;32431;29338;28438;26585;23106;18600;14028;9826;7014;8081;301827
"35032 CAMPINAS";226496;256306;263117;241104;212215;198663;180148;157537;123928;90845;61987;44820;52423;2109589
"35033 AMPARO";14022;15122;15731;14588;13822;13117;12760;11731;9862;7879;5742;4473;5657;144506
"35034 DRACENA";9067;10103;10143;9510;8866;8642;8189;7390;6085;4846;3796;2980;3508;93125
"35035 ADAMANTINA";12393;15269;14291;12723;11503;11291;11046;9844;8115;6659;5242;4164;4970;127510
"35036 PRESIDENTE PRUDENTE";46172;48445;47078;45666;43082;43997;40854;34400;27741;22047;16717;12470;14350;443019
"35037 TUPA";8047;8810;8897;8435;7965;8003;7651;6857;5564;4573;3623;2831;3401;84657
"35038 MARILIA";25988;28359;28511;27447;24933;23956;22719;20496;16893;13146;9624;7239;9065;258376
"35039 ASSIS";21406;23175;22190;21155;19675;19391;18454;15880;12897;10083;7599;5462;6732;204099
"35040 OURINHOS";23581;24330;24050;22289;21013;20391;19789;17140;14554;11394;8490;6018;7198;220237
"35041 ITAPEVA";21152;19763;19537;18204;16790;15856;15227;12846;10250;7736;5589;4114;4533;171597
"35042 ITAPETININGA";17192;18427;18521;16570;14199;12935;12174;10765;8445;6422;4382;3282;3815;147129
"35043 TATUI";22650;24857;24654;22750;19941;18389;17072;14849;12106;9291;6614;4692;5340;203205
"35044 CAPAO BONITO";11451;10103;10097;9882;9502;8626;7913;6683;5456;4510;3360;2426;2529;92538
"35045 PIEDADE";16237;15855;15866;14759;13824;13074;12290;10431;8297;6681;4978;3366;3468;139126
"35046 SOROCABA";116769;126226;127770;117484;104055;96841;90440;77258;59829;44234;29982;21478;24927;1037293
"35047 JUNDIAI";53502;61288;63768;58010;50416;46763;42776;37563;29306;21660;14996;10996;12919;503963
"35048 BRAGANCA PAULISTA";42330;46159;46732;44187;39881;36576;34347;30329;24298;18780;13452;9599;11585;398255
"35049 CAMPOS DO JORDAO";5989;5753;5697;5682;5394;5124;4662;3875;2863;2200;1561;1103;1192;51095
"35050 SAO JOSE DOS CAMPOS";120777;130479;135982;126039;109823;102091;95330;84032;68097;49737;32391;21660;24510;1100948
"35051 GUARATINGUETA";33512;35822;36078;33049;29577;28242;27650;24278;19221;14724;10280;7104;8490;308027
"35052 BANANAL";2086;2081;2004;1965;1861;1829;1748;1479;1150;973;735;551;698;19160
"35053 PARAIBUNA/PARAITINGA";5856;5343;5283;5142;5181;5229;4851;4157;3418;2689;2246;1566;1659;52620
"35054 CARAGUATATUBA";25492;25894;26564;26187;23258;20865;18098;15421;12528;9122;6290;4119;4441;218279
"35055 REGISTRO";19558;17479;18124;18676;16892;15933;15008;13055;11125;8616;6942;4900;5259;171567
"35056 ITANHAEM";17562;16332;16730;17001;15918;14992;14787;14178;12608;9955;7542;5083;5152;167840
"35057 OSASCO";155537;168931;171467;157251;138329;125264;107273;90623;70184;50043;31093;20540;21056;1307591
"35058 FRANCO DA ROCHA";43032;45202;44534;40685;35617;32015;27708;23637;18240;12330;7413;4526;4522;339461
"35059 GUARULHOS";119984;126535;127210;118808;107127;98558;82911;69563;53537;37872;24315;16086;16592;999098
"35060 ITAPECERICA DA SERRA";89905;95489;98351;91561;79946;71385;59522;50693;39054;27443;17291;10741;10894;742275
"35061 SAO PAULO";1088502;1249928;1313418;1218951;1074064;981902;889753;785303;636647;483918;331479;243297;301662;10598824
"35062 MOGI DAS CRUZES";121666;124488;121163;111987;101523;94075;82162;69609;52956;37315;24114;16072;16694;973824
"35063 SANTOS";118014;124269;130361;123585;111432;104823;98072;87540;72953;54676;40114;29838;35595;1131272
"Total";3422740;3779508;3871426;3584868;3188319;2969191;2720504;2377238;1908918;1441004;1000574;725535;859931;31849756
