"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";10087;11301;11764;11707;11214;11188;11293;10530;9074;7363;5724;4323;5001;120569
"35002 FERNANDOPOLIS";7325;8200;8745;8496;7978;7902;7892;7363;6180;4954;3846;2888;3527;85296
"35003 VOTUPORANGA";10438;12099;12922;12176;11034;10609;10405;9685;8062;6351;4807;3468;4022;116078
"35004 SAO JOSE DO RIO PRETO";59403;67717;72477;69511;62403;58368;56364;51055;42151;33198;24516;17879;22278;637320
"35005 CATANDUVA";17622;19745;20834;19324;17164;16241;15423;13784;11621;9163;6740;5119;6675;179455
"35006 AURIFLAMA";3395;3931;4056;3722;3416;3440;3389;3073;2593;2098;1586;1173;1376;37248
"35007 NHANDEARA";4714;5678;6107;5624;5015;4909;4837;4387;3743;3012;2363;1822;2222;54433
"35008 NOVO HORIZONTE";5966;6837;7152;6637;6060;5871;5701;5301;4594;3628;2690;1977;2501;64915
"35009 BARRETOS";10549;12055;12616;11742;10456;9719;9500;8579;7020;5429;4041;2951;3554;108211
"35010 SAO JOAQUIM DA BARRA";17624;19133;20134;18840;16519;15255;14320;12598;10188;7944;5624;3862;4481;166522
"35011 ITUVERAVA";7604;8150;8626;8172;7087;6481;6343;5829;4833;3813;2827;2066;2447;74278
"35012 FRANCA";32859;34787;34594;32093;29323;27866;26562;23637;19210;14859;10469;7146;8362;301767
"35013 JABOTICABAL";32581;35549;36844;34249;30548;28982;27632;24957;20784;16316;11990;8796;11356;320584
"35014 RIBEIRAO PRETO";89911;100841;107050;98913;84133;74733;70300;63214;52092;40097;28330;19928;25265;854807
"35015 BATATAIS";8731;9273;9443;8940;7796;7322;7189;6708;5766;4566;3324;2405;3158;84621
"35016 ANDRADINA";13358;14608;14936;15009;14736;14036;13372;11808;9800;7976;6087;4394;5104;145224
"35017 ARACATUBA";19442;22293;24786;23749;21239;19936;19152;16915;13797;10669;7781;5746;6987;212492
"35018 BIRIGUI";20523;22664;23670;22495;20859;19876;18788;16766;13941;10872;8095;5819;7021;211389
"35019 LINS";12812;13800;14499;13891;12461;11589;11033;10011;8331;6506;4805;3574;4552;127864
"35020 BAURU";44801;50021;53505;50203;44064;40226;38318;34996;29394;22508;16093;11605;15080;450814
"35021 JAU";28151;30413;31848;30432;27316;25188;24146;21866;17816;13418;9493;6970;9338;276395
"35022 AVARE";15113;16185;16317;15776;14412;12954;12047;10770;8888;6688;4701;3341;4108;141300
"35023 BOTUCATU";17018;18161;18937;18376;16568;15078;14258;13010;11037;8551;6184;4452;5850;167480
"35024 ARARAQUARA";40768;45999;48397;45499;40146;37150;35692;31911;26188;20222;14378;10244;13175;409769
"35025 SAO CARLOS";25105;27631;29554;28234;25120;22853;21809;19756;16320;12564;8887;6437;8512;252782
"35026 RIO CLARO";20007;21986;23223;22127;19472;17616;16737;15076;12284;9557;7004;5037;6890;197016
"35027 LIMEIRA";48803;53793;56249;52176;46109;42643;40383;36362;29653;22183;15454;10689;13177;467674
"35028 PIRACICABA";45897;49984;53344;50510;44344;40169;38086;34251;28484;22443;15901;11056;14311;448780
"35029 PIRASSUNUNGA";15012;16284;17018;15773;13884;13023;12661;11462;9292;7303;5299;3783;4835;145629
"35030 SAO JOAO DA BOA VISTA";30879;33760;35032;33231;30313;29278;28989;27048;22802;17669;12717;9218;12132;323068
"35031 MOJI MIRIM";31998;34854;36548;34333;30517;28685;27310;24384;20101;15350;10812;7452;8903;311247
"35032 CAMPINAS";226602;249426;266366;253303;223370;202920;186930;165759;135606;101398;69523;47729;58059;2186991
"35033 AMPARO";13536;14857;15836;15295;14186;13467;13059;12255;10565;8491;6272;4620;6176;148615
"35034 DRACENA";8659;9876;10413;9939;9155;8756;8414;7706;6507;5148;3950;3027;3823;95373
"35035 ADAMANTINA";11739;14288;15085;13525;11951;11304;11140;10288;8669;6973;5435;4199;5391;129987
"35036 PRESIDENTE PRUDENTE";44100;47578;48217;46577;43907;43401;42112;36912;30036;23609;17776;13018;15821;453064
"35037 TUPA";7630;8457;8937;8656;8080;7912;7778;7154;6002;4820;3778;2899;3719;85822
"35038 MARILIA";25355;27385;28742;28047;25822;24282;23280;21405;18187;14250;10424;7553;9860;264592
"35039 ASSIS";20591;22580;22879;21733;20195;19428;18834;16837;13833;10786;8040;5750;7264;208750
"35040 OURINHOS";22716;24117;24555;23202;21455;20545;20026;18145;15341;12186;9026;6373;7824;225511
"35041 ITAPEVA";20487;20217;19746;18719;17129;16020;15394;13682;11006;8324;5963;4247;4951;175885
"35042 ITAPETININGA";17163;18266;18944;17604;15134;13397;12477;11266;9188;6954;4847;3394;4167;152801
"35043 TATUI";22818;24540;25388;23915;21146;19097;17788;15851;13097;10064;7202;4984;5880;211770
"35044 CAPAO BONITO";10856;10395;10026;9859;9461;8830;8108;7069;5784;4670;3537;2524;2799;93918
"35045 PIEDADE";15911;15968;15955;15188;14045;13351;12716;11257;9047;7038;5276;3630;3868;143250
"35046 SOROCABA";116562;124678;130154;123382;109426;99444;93127;82385;65894;48839;33493;22798;27452;1077634
"35047 JUNDIAI";53472;59423;64349;61227;53342;47880;44157;39354;32040;23999;16652;11600;14257;521752
"35048 BRAGANCA PAULISTA";42151;45486;47804;46147;41863;38053;35556;32277;26758;20496;14773;10290;12753;414407
"35049 CAMPOS DO JORDAO";5856;5834;5782;5729;5484;5189;4825;4148;3185;2360;1685;1163;1317;52557
"35050 SAO JOSE DOS CAMPOS";119942;128350;136250;131208;115648;104365;97620;88190;73563;55591;37130;23865;27295;1139017
"35051 GUARATINGUETA";32288;35048;36515;34542;30768;28563;27775;25402;20803;15856;11222;7597;9208;315587
"35052 BANANAL";2050;2075;2052;1985;1888;1835;1780;1577;1255;1002;775;565;743;19582
"35053 PARAIBUNA/PARAITINGA";5502;5485;5349;5228;5156;5218;5038;4437;3660;2831;2244;1649;1820;53617
"35054 CARAGUATATUBA";25924;26250;26871;26730;24510;21944;19443;16659;13648;10250;7047;4599;5018;228893
"35055 REGISTRO";18968;18034;17901;18447;17427;16230;15438;13867;11784;9292;7156;5218;5858;175620
"35056 ITANHAEM";17611;16920;16897;17204;16581;15786;15554;15071;13506;10807;8110;5609;5913;175569
"35057 OSASCO";157418;164124;171505;162507;143387;127785;112157;95090;76016;55838;35982;22463;23677;1347949
