"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";12771;12091;11154;11111;11179;10707;9465;8172;6931;5768;4534;3091;2898;109872
"35002 FERNANDOPOLIS";9062;8715;7883;7770;7875;7560;6531;5447;4575;3829;2955;2070;2001;76273
"35003 VOTUPORANGA";12382;11922;10607;10376;10302;9681;8441;7094;5784;4680;3551;2466;2399;99685
"35004 SAO JOSE DO RIO PRETO";67745;66742;60395;57238;56315;51909;44189;36156;28630;23060;18165;13057;12668;536269
"35005 CATANDUVA";20132;19272;17214;16570;15872;14439;12571;10273;8126;6791;5584;4187;3934;154965
"35006 AURIFLAMA";4183;3861;3451;3445;3465;3168;2749;2391;1935;1596;1263;872;779;33158
"35007 NHANDEARA";5723;5370;4775;4794;4807;4532;3988;3416;2915;2471;1973;1408;1324;47496
"35008 NOVO HORIZONTE";6914;6514;5860;5742;5680;5327;4813;4031;3215;2627;2126;1593;1502;55944
"35009 BARRETOS";12661;11802;10398;9849;9827;9061;7675;6345;5082;4095;3207;2252;2223;94477
"35010 SAO JOAQUIM DA BARRA";19878;19002;16807;15655;14877;13466;11299;9285;7104;5393;4069;2806;2682;142323
"35011 ITUVERAVA";8799;8562;7294;6753;6619;6237;5351;4422;3557;2862;2212;1489;1493;65650
"35012 FRANCA";34924;32898;29986;28692;27684;25108;20953;16896;12580;9676;7231;4958;4675;256261
"35013 JABOTICABAL";38062;35773;31773;30232;29090;26510;22640;18486;14486;11785;9354;6902;6856;281949
"35014 RIBEIRAO PRETO";97195;93506;81382;73928;70828;65290;55320;44194;33224;25862;20201;14573;14488;689991
"35015 BATATAIS";9556;9035;7844;7338;7353;6947;6119;5072;3871;3173;2529;1870;1879;72586
"35016 ANDRADINA";15481;15392;14775;14193;13619;12297;10569;9061;7441;5965;4494;3141;3096;129524
"35017 ARACATUBA";22817;22588;20705;19829;19499;17691;14877;12129;9501;7760;6036;4198;4273;181903
"35018 BIRIGUI";22682;21873;20262;19450;18700;17073;14548;12054;9566;7672;5950;4193;4104;178127
"35019 LINS";14303;13828;12305;11470;11197;10397;9069;7435;5924;4902;3952;2919;2836;110537
"35020 BAURU";52255;50459;44731;41123;39687;36634;31624;25379;19292;15459;12476;9171;9048;387338
"35021 JAU";31344;30082;27019;25353;24658;22838;19349;15321;11626;9485;7863;5879;5745;236562
"35022 AVARE";16224;15415;13968;12775;12041;11015;9440;7569;5734;4512;3591;2529;2459;117272
"35023 BOTUCATU";18377;17710;16013;14589;14008;13042;11368;9345;7263;5776;4706;3516;3559;139272
"35024 ARARAQUARA";46594;44605;39783;37101;36383;33200;28178;22614;17268;13626;10855;7993;7800;346000
"35025 SAO CARLOS";28202;27631;24848;22778;21962;20411;17223;13795;10392;8313;6707;5007;4962;212231
"35026 RIO CLARO";22115;21843;19452;17715;17235;15849;13285;10824;8475;6760;5474;4243;4446;167716
"35027 LIMEIRA";54194;51326;45698;43141;41283;38036;31833;24974;18470;14247;11002;7971;7562;389737
"35028 PIRACICABA";51450;49899;44112;40515;39059;35698;30678;24978;18849;14586;11462;8638;8507;378431
"35029 PIRASSUNUNGA";16892;15987;14011;13236;13142;11899;10079;8220;6458;5036;4053;2985;2895;124893
