"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";11328;11617;11559;11116;11082;11169;10630;9376;7993;6463;5201;3697;3861;115092
"35002 FERNANDOPOLIS";8175;8540;8342;7907;7840;7851;7496;6452;5279;4254;3407;2472;2735;80750
"35003 VOTUPORANGA";11642;12499;11945;10846;10493;10335;9717;8328;6908;5434;4170;2910;3148;108375
"35004 SAO JOSE DO RIO PRETO";64606;70236;68305;61727;58002;56335;51779;43528;35197;26976;20932;15384;17301;590308
"35005 CATANDUVA";19153;20582;19321;17275;16455;15664;14166;12160;9880;7539;6095;4711;5237;168238
"35006 AURIFLAMA";3912;4010;3724;3423;3425;3399;3129;2698;2294;1802;1418;1029;1055;35318
"35007 NHANDEARA";5349;5821;5483;4967;4888;4845;4498;3929;3297;2686;2202;1621;1747;51333
"35008 NOVO HORIZONTE";6593;6924;6517;5978;5819;5674;5333;4740;3927;3026;2362;1761;1991;60645
"35009 BARRETOS";11743;12402;11701;10476;9793;9670;8878;7424;6014;4644;3607;2572;2871;101795
"35010 SAO JOAQUIM DA BARRA";18784;20075;18890;16623;15422;14602;13127;10878;8771;6446;4700;3312;3506;155136
"35011 ITUVERAVA";8142;8658;8271;7179;6584;6453;6047;5143;4205;3230;2510;1781;1946;70149
"35012 FRANCA";34510;34461;32182;29632;28307;27123;24378;20213;16004;11704;8501;6008;6444;279467
"35013 JABOTICABAL";35536;37176;34807;31057;29472;28200;25752;21809;17586;13416;10462;7793;9107;302173
"35014 RIBEIRAO PRETO";95161;103511;97110;83429;74762;70919;64704;54194;42593;31207;23325;17053;19919;777887
"35015 BATATAIS";9156;9286;8853;7816;7371;7263;6813;5972;4861;3672;2825;2139;2513;78540
"35016 ANDRADINA";14496;14810;14977;14709;14053;13485;12123;10297;8675;6878;5285;3683;4041;137512
