"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";9496;10912;11829;11742;11561;11094;11431;10908;9592;7722;6074;4479;5553;122393
"35002 FERNANDOPOLIS";6976;7895;8727;8732;8180;7893;7985;7565;6637;5244;4117;3027;3899;86877
"35003 VOTUPORANGA";10245;11425;13096;12644;11564;10643;10611;10010;8726;6665;5194;3653;4446;118922
"35004 SAO JOSE DO RIO PRETO";58716;64697;72752;71720;65860;59139;57436;53375;45472;35513;26998;18746;24569;654993
"35005 CATANDUVA";17276;18960;20780;20254;17841;16318;15832;14349;12292;9842;7342;5219;7290;183595
"35006 AURIFLAMA";3174;3741;4133;3867;3501;3392;3464;3201;2752;2189;1718;1209;1521;37862
"35007 NHANDEARA";4539;5361;6217;5951;5216;4873;4930;4551;3925;3175;2471;1878;2432;55519
"35008 NOVO HORIZONTE";5819;6520;7295;6938;6281;5902;5839;5459;4853;3884;2911;2060;2723;66484
"35009 BARRETOS";10118;11572;12726;12227;10938;9875;9477;9004;7481;5764;4321;3074;3876;110453
"35010 SAO JOAQUIM DA BARRA";17507;18469;19936;19690;17356;15470;14671;13143;10912;8376;6279;4063;4932;170804
"35011 ITUVERAVA";7494;7892;8467;8473;7516;6552;6347;6022;5144;4010;3063;2135;2691;75806
"35012 FRANCA";32458;34032;35315;33035;30209;28026;27064;24742;20668;15958;11751;7632;9245;310135
"35013 JABOTICABAL";31742;34245;36656;35549;31689;29045;28237;25806;22239;17419;13129;9138;12370;327264
"35014 RIBEIRAO PRETO";90176;96986;107664;104491;90285;76966;71503;65993;55952;43590;31664;21118;27684;884072
"35015 BATATAIS";8441;9192;9473;9268;8291;7296;7277;6901;6112;4918;3664;2525;3433;86791
"35016 ANDRADINA";12828;14262;15052;14841;15026;14330;13612;12485;10325;8355;6551;4647;5627;147941
"35017 ARACATUBA";19308;21227;24687;24740;22228;20155;19465;17855;14731;11463;8467;5933;7688;217947
"35018 BIRIGUI";20079;22106;23836;23348;21448;20282;19319;17609;14903;11693;8747;6198;7710;217278
"35019 LINS";12544;13545;14455;14403;13063;11781;11256;10360;8873;6914;5195;3665;4942;130996
"35020 BAURU";44346;47477;53608;52093;46485;40974;38837;36278;31334;24501;17667;12178;16374;462152
"35021 JAU";27877;29705;31724;31502;28615;25704;24360;22781;19152;14545;10439;7147;10063;283614
"35022 AVARE";14840;16073;16525;16076;15204;13506;12326;11279;9483;7283;5162;3494;4477;145728
"35023 BOTUCATU";17050;17842;18984;18852;17534;15597;14606;13544;11743;9278;6770;4692;6339;172831
"35024 ARARAQUARA";40067;44012;48829;47207;42425;37629;36264;33477;28025;21860;15966;10735;14348;420844
"35025 SAO CARLOS";24914;26623;29246;29383;26411;23560;22019;20672;17537;13698;9928;6703;9295;259989
"35026 RIO CLARO";19853;21288;23118;22848;20607;18069;16933;15722;13237;10186;7674;5280;7386;202201
"35027 LIMEIRA";48709;51854;56499;54576;48285;43394;41174;37842;32094;24272;17214;11398;14413;481724
"35028 PIRACICABA";45934;48340;52736;52699;46761;41243;38581;35866;30258;24149;17835;11730;15557;461689
"35029 PIRASSUNUNGA";14810;15805;16882;16515;14559;13140;12762;11966;10056;7690;5896;3934;5263;149278
"35030 SAO JOAO DA BOA VISTA";29631;32723;34939;34233;31339;29224;29160;27814;24307;18989;13967;9573;13111;329010
"35031 MOJI MIRIM";31618;34006;36528;35948;31925;29020;27946;25478;21562;16666;12021;7964;9784;320466
"35032 CAMPINAS";229227;241568;265795;263473;236183;207744;193092;172763;147002;111928;78519;51086;64062;2262442
"35033 AMPARO";13198;14509;15687;15882;14661;13855;13316;12690;11244;9102;6929;4821;6742;152636
"35034 DRACENA";8350;9587;10532;10293;9516;8893;8613;7961;6921;5447;4188;3100;4166;97567
"35035 ADAMANTINA";11219;13255;15665;14223;12489;11359;11203;10657;9204;7279;5747;4278;5849;132427
"35036 PRESIDENTE PRUDENTE";42512;46502;48690;47097;45067;42953;43226;39152;32269;25163;19198;13697;17415;462941
"35037 TUPA";7295;8070;8868;8796;8259;7852;7878;7399;6425;5069;4009;2996;4063;86979
"35038 MARILIA";24998;26298;28581;28451;26893;24685;23763;22152;19441;15344;11442;7945;10727;270720
"35039 ASSIS";19995;21892;23262;22134;20865;19527;19159;17670;14739;11487;8638;6092;7850;213310
"35040 OURINHOS";22097;23797;24667;23937;22053;20760;20197;19018;16098;12975;9758;6790;8502;230649
"35041 ITAPEVA";20078;20577;19674;19077;17601;16233;15514;14418;11743;8912;6466;4418;5404;180115
