"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35042 ITAPETININGA";17323;18015;19091;18505;16182;13901;12742;11684;9916;7482;5415;3539;4551;158346
"35043 TATUI";23231;24073;25781;24882;22514;19853;18451;16735;14050;10832;7940;5326;6454;220122
"35044 CAPAO BONITO";10415;10615;9820;9756;9494;9064;8283;7406;6104;4829;3788;2647;3091;95312
"35045 PIEDADE";15760;16016;15815;15495;14373;13668;13104;12003;9782;7393;5681;3927;4299;147316
"35046 SOROCABA";117648;122622;130691;128291;115606;102341;95518;86891;71828;53424;37694;24337;30170;1117061
"35047 JUNDIAI";54034;57323;64009;63963;56663;49130;45386;40852;34707;26324;18651;12316;15690;539048
"35048 BRAGANCA PAULISTA";42443;44620;48182;47697;44155;39634;36645;33973;29155;22200;16405;11078;14009;430196
"35049 CAMPOS DO JORDAO";5800;5903;5785;5728;5612;5272;4974;4389;3498;2515;1845;1236;1448;54005
"35050 SAO JOSE DOS CAMPOS";120454;125683;134586;135320;122352;106957;99603;91702;78884;61428;42630;26289;30272;1176160
"35051 GUARATINGUETA";31431;34145;36438;35753;32201;28978;27818;26329;22349;16985;12402;8166;9993;322988
"35052 BANANAL";2036;2059;2073;1988;1932;1845;1810;1667;1354;1033;829;586;797;20009
"35053 PARAIBUNA/PARAITINGA";5216;5612;5337;5272;5171;5225;5197;4684;3895;2975;2292;1744;1995;54615
"35054 CARAGUATATUBA";26656;26473;26791;27055;25929;23072;20721;17766;14737;11377;7946;5118;5630;239271
"35055 REGISTRO";18590;18512;17439;18046;18087;16579;15816;14578;12418;9966;7519;5584;6496;179630
"35056 ITANHAEM";17850;17423;16816;17251;17356;16618;16265;15845;14367;11649;8836;6183;6707;183166
"35057 OSASCO";161129;158701;169152;166460;149556;130736;116719;98876;81709;61626;41621;24600;26471;1387356
"35058 FRANCO DA ROCHA";45206;44919;46449;44469;39736;34481;30668;26149;21456;15496;9949;5657;5604;370239
"35059 GUARULHOS";127914;123101;127318;124634;114163;102512;92498;77092;62998;47077;31725;19300;20956;1071288
"35060 ITAPECERICA DA SERRA";96199;94038;98801;98020;88390;76711;67716;56425;46601;34603;23143;13721;13971;808339
"35061 SAO PAULO";1135447;1126659;1257247;1278214;1164678;1024213;932598;834484;720415;571339;413598;270835;357007;11086734
"35062 MOGI DAS CRUZES";126304;124960;126053;119779;109024;98452;90136;77658;63564;46286;31167;19106;20889;1053378
"35063 SANTOS";119957;120371;126949;129718;120749;109185;102883;94880;82683;65355;47341;32925;42828;1195824
"Total";3458597;3546685;3844758;3823504;3475713;3092380;2872236;2588005;2201933;1710711;1233506;814670;1033149;33695847
