"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12389;11671;10768;9411;8106;7266;6614;5686;4629;3415;2355;1565;1396;85271
"35002 FERNANDOPOLIS";8787;8225;7732;6687;5655;4953;4304;3638;3143;2299;1593;1126;874;59016
"35003 VOTUPORANGA";10303;10103;9218;8020;7132;6018;5381;4367;3719;2799;1883;1281;1074;71298
"35004 SAO JOSE DO RIO PRETO";52374;53075;48405;41086;34654;28531;24913;21731;18722;13484;9323;6287;5562;358147
"35005 CATANDUVA";16927;16105;14612;12811;10637;8537;7847;7178;6336;4716;3229;2196;1929;113060
"35006 AURIFLAMA";4061;4036;3421;3003;2692;2095;1932;1678;1357;1009;624;453;405;26766
"35007 NHANDEARA";5047;4899;4590;3967;3552;3068;2846;2365;2055;1497;1071;726;684;36367
"35008 NOVO HORIZONTE";5769;5665;5250;4734;3997;3228;2875;2627;2337;1803;1225;837;715;41062
"35009 BARRETOS";10676;10781;9759;8240;6839;5753;5022;4393;3796;2724;1997;1374;1175;72529
"35010 SAO JOAQUIM DA BARRA";16137;15626;14099;11906;10171;7918;6657;5540;4672;3425;2302;1540;1273;101266
"35011 ITUVERAVA";7230;6879;6689;5516;4905;3952;3606;2961;2436;1827;1287;837;787;48912
"35012 FRANCA";29867;28446;25466;21384;17814;13435;11469;9353;7623;5263;3638;2391;2137;178286
"35013 JABOTICABAL";34090;32366;29081;24644;20449;16195;14058;12307;10821;8182;5533;3846;3346;214918
"35014 RIBEIRAO PRETO";67702;69307;64587;55735;45137;34902;29922;25158;22034;15737;10542;7404;6437;454604
"35015 BATATAIS";7648;7495;7075;6171;5200;4111;3594;3166;2868;2172;1464;975;846;52785
"35016 ANDRADINA";15835;14510;13071;11422;10042;8431;7060;5876;4827;3670;2572;1843;1561;100720
"35017 ARACATUBA";20042;20132;18116;15302;12787;10453;9211;7719;6558;4956;3412;2348;2115;133151
"35018 BIRIGUI";19409;18249;16222;14087;11820;9865;8440;7361;6143;4717;3177;2134;1912;123536
"35019 LINS";11680;11201;10254;8952;7556;6212;5588;5183;4628;3496;2447;1659;1469;80325
"35020 BAURU";40708;40404;37283;32099;25721;20521;17651;16113;14075;10459;7122;4893;4155;271204
"35021 JAU";24779;24818;22592;19234;15465;12064;10997;10126;9272;6658;4606;3281;2856;166748
"35022 AVARE";11651;11332;10421;9250;7482;5711;5025;4620;3873;2921;1987;1353;1115;76741
"35023 BOTUCATU";13835;13157;12378;10593;9112;7092;6283;6000;5104;3974;2808;2027;1741;94104
"35024 ARARAQUARA";36558;36904;33218;28609;23009;18021;15708;13875;12252;9068;6094;4145;3758;241219
"35025 SAO CARLOS";20902;20646;19199;16443;13615;10677;9534;8274;7594;5652;4016;2755;2701;142008
"35026 RIO CLARO";15684;15965;14838;12542;10767;8799;7666;6831;6464;4941;3528;2465;2045;112535
"35027 LIMEIRA";41684;41171;37819;32314;25690;19688;16556;14191;12544;8868;5733;3764;3065;263087
"35028 PIRACICABA";38476;38941;35242;30943;25568;19838;16556;14579;12974;9640;6746;4498;3757;257758
"35029 PIRASSUNUNGA";13158;13445;12065;10244;8631;6918;5994;5324;4695;3529;2389;1571;1215;89178
"35030 SAO JOAO DA BOA VISTA";32313;31298;29504;25670;21092;16704;14786;13618;12462;9279;6324;4384;3710;221144
"35031 MOJI MIRIM";26201;25620;23705;20468;16646;12827;10866;9149;7973;5748;3864;2660;2297;168024
"35032 CAMPINAS";179144;179563;166446;142996;112193;84171;69891;57898;48912;35099;23127;15395;12837;1127672
"35033 AMPARO";12174;11805;11408;10178;8669;6706;6257;5523;5176;3994;2952;1979;1695;88516
"35034 DRACENA";9540;8828;8334;7181;6083;5327;4930;4291;3777;2789;1837;1222;1108;65247
"35035 ADAMANTINA";13322;12539;11420;10018;8557;7650;6841;6370;5420;4037;2946;1883;1706;92709
"35036 PRESIDENTE PRUDENTE";48707;45268;38884;33027;27518;23188;19956;17189;14279;10708;7035;4710;4271;294740
"35037 TUPA";9316;8755;7907;6750;5697;4967;4443;3983;3380;2650;1716;1215;1103;61882
"35038 MARILIA";24822;23829;22097;19176;15818;12735;10954;9995;8943;6712;4523;3025;2658;165287
"35039 ASSIS";21134;20171;17820;15142;12625;10601;9342;8222;7188;5417;3771;2476;2249;136158
"35040 OURINHOS";21047;20434;18146;16466;14145;11751;9951;8960;7632;5589;3979;2724;2362;143186
"35041 ITAPEVA";18694;17653;15811;13520;10896;8801;7593;6790;5617;4191;2931;1831;1492;115820
"35042 ITAPETININGA";12025;11708;10886;9374;7596;6037;5116;4587;3971;3046;2206;1437;1174;79163
"35043 TATUI";15162;14648;13412;11576;9711;7975;6724;6165;5296;4180;2934;1860;1513;101156
"35044 CAPAO BONITO";12186;10727;9304;7842;6828;5666;4687;4073;3200;2507;1684;1050;734;70488
"35045 PIEDADE";14033;12823;11152;9024;7623;6306;5377;4622;3869;2882;1812;1145;925;81593
"35046 SOROCABA";84573;84553;77005;64897;51684;39870;32730;28435;24499;18047;12037;7688;6343;532361
"35047 JUNDIAI";41856;41720;39423;34084;27244;20716;17500;14453;12351;9085;6028;3931;3339;271730
"35048 BRAGANCA PAULISTA";30568;29663;27282;23668;19921;15325;13356;11588;10572;7843;5272;3495;2930;201483
"35049 CAMPOS DO JORDAO";5580;5211;4484;3744;2989;2366;2059;1680;1449;1093;708;419;324;32106
"35050 SAO JOSE DOS CAMPOS";99779;100609;93870;82911;65206;46543;35641;27775;23510;17387;11530;7543;6184;618488
"35051 GUARATINGUETA";30829;30714;27996;23859;19950;15534;12841;11084;9359;7230;4895;3340;2697;200328
"35052 BANANAL";2080;1956;1713;1330;1191;982;955;800;767;558;405;296;240;13273
"35053 PARAIBUNA/PARAITINGA";6003;5569;4630;3810;3373;3038;2694;2407;2150;1631;1032;657;498;37492
"35054 CARAGUATATUBA";15233;14140;12540;10875;8388;6296;5079;4243;3675;2594;1679;1108;948;86798
"35055 REGISTRO";17783;16211;14422;12584;10680;8906;7737;6376;5441;4010;2660;1724;1458;109992
"35056 ITANHAEM";10442;9582;8797;8044;6620;5414;4813;4117;3956;2949;1955;1193;847;68729
"35057 OSASCO";130535;124392;113024;96854;75255;53372;40053;29685;23174;15880;9738;5901;4494;722357
"35058 FRANCO DA ROCHA";24132;23226;22486;20227;15607;10684;7753;5936;4941;3610;2206;1358;1005;143171
"35059 GUARULHOS";91329;87711;79579;68966;54027;38209;29653;22022;17585;11932;7409;4605;3471;516498
"35060 ITAPECERICA DA SERRA";61472;57800;53455;46956;36590;25148;18388;13300;10534;7077;4399;2727;2121;339967
"35061 SAO PAULO";1148856;1162348;1072036;932651;757752;570907;474107;383214;334827;243345;157698;102940;89179;7429860
"35062 MOGI DAS CRUZES";82339;79122;72797;62126;48160;35064;27798;21332;17641;12544;7868;5055;3831;475677
"35063 SANTOS";104486;104580;97000;86722;70737;55866;48131;41352;36016;26840;17513;11879;10050;711172
"Total";3071103;3040330;2792245;2418065;1961276;1499904;1252311;1039454;897093;655384;433376;286429;243898;19590868
