"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12578;11849;10932;9559;8230;7381;6720;5775;4704;3474;2393;1592;1417;86604
"35002 FERNANDOPOLIS";8926;8357;7856;6791;5745;5031;4373;3695;3192;2338;1621;1143;885;59953
"35003 VOTUPORANGA";10464;10262;9365;8145;7240;6113;5465;4432;3778;2846;1916;1296;1090;72412
"35004 SAO JOSE DO RIO PRETO";53179;53896;49151;41723;35188;28976;25296;22065;19017;13696;9473;6388;5652;363700
"35005 CATANDUVA";17193;16354;14839;13006;10805;8671;7967;7284;6434;4791;3280;2228;1958;114810
"35006 AURIFLAMA";4127;4099;3472;3047;2731;2127;1964;1705;1377;1026;637;461;410;27183
"35007 NHANDEARA";5125;4974;4664;4030;3606;3116;2892;2404;2087;1524;1091;736;694;36943
"35008 NOVO HORIZONTE";5860;5756;5331;4808;4061;3277;2921;2665;2373;1831;1246;850;725;41704
"35009 BARRETOS";10842;10946;9910;8366;6943;5842;5099;4460;3853;2767;2028;1396;1193;73645
"35010 SAO JOAQUIM DA BARRA";16387;15870;14317;12089;10330;8041;6760;5626;4743;3478;2338;1562;1293;102834
"35011 ITUVERAVA";7343;6985;6795;5601;4981;4014;3659;3008;2473;1857;1307;849;800;49672
"35012 FRANCA";30329;28886;25860;21712;18088;13644;11649;9496;7745;5348;3693;2430;2171;181051
"35013 JABOTICABAL";34618;32869;29529;25027;20769;16443;14273;12493;10987;8310;5619;3905;3398;218240
"35014 RIBEIRAO PRETO";68747;70380;65586;56597;45832;35442;30383;25543;22372;15980;10705;7517;6533;461617
"35015 BATATAIS";7765;7614;7184;6268;5282;4174;3649;3216;2910;2205;1486;990;858;53601
"35016 ANDRADINA";16082;14736;13274;11596;10199;8560;7170;5965;4900;3728;2616;1872;1586;102284
"35017 ARACATUBA";20353;20441;18396;15540;12988;10615;9353;7837;6662;5035;3465;2384;2146;135215
"35018 BIRIGUI";19709;18532;16473;14306;12003;10017;8571;7473;6240;4792;3235;2171;1945;125467
"35019 LINS";11864;11374;10415;9091;7671;6307;5675;5263;4699;3552;2487;1688;1491;81577
"35020 BAURU";41338;41031;37858;32596;26121;20840;17927;16364;14297;10626;7236;4971;4220;275425
"35021 JAU";25162;25199;22942;19527;15700;12248;11167;10284;9415;6764;4678;3331;2898;169315
"35022 AVARE";11832;11508;10582;9393;7598;5801;5102;4692;3931;2967;2017;1374;1136;77933
"35023 BOTUCATU";14047;13360;12567;10759;9254;7200;6380;6091;5181;4034;2851;2061;1766;95551
"35024 ARARAQUARA";37126;37475;33728;29056;23364;18302;15951;14089;12444;9209;6190;4208;3815;244957
"35025 SAO CARLOS";21225;20965;19494;16701;13828;10843;9683;8404;7711;5739;4077;2796;2743;144209
"35026 RIO CLARO";15925;16214;15067;12735;10933;8936;7783;6936;6563;5015;3585;2503;2075;114270
"35027 LIMEIRA";42330;41805;38401;32812;26088;19991;16809;14412;12735;9008;5820;3821;3112;267144
"35028 PIRACICABA";39074;39542;35787;31423;25963;20143;16812;14805;13176;9790;6848;4565;3816;261744
"35029 PIRASSUNUNGA";13362;13654;12251;10402;8765;7024;6087;5407;4767;3585;2425;1597;1234;90560
"35030 SAO JOAO DA BOA VISTA";32812;31780;29962;26065;21417;16964;15014;13833;12656;9423;6429;4449;3767;224571
"35031 MOJI MIRIM";26607;26014;24073;20785;16904;13025;11035;9290;8097;5837;3923;2699;2331;170620
"35032 CAMPINAS";181916;182336;169019;145205;113927;85471;70967;58796;49665;35640;23484;15637;13033;1145096
"35033 AMPARO";12360;11989;11583;10334;8804;6811;6352;5610;5254;4055;2999;2008;1723;89882
"35034 DRACENA";9687;8963;8463;7289;6176;5408;5003;4356;3836;2834;1869;1240;1122;66246
"35035 ADAMANTINA";13531;12731;11598;10172;8686;7772;6949;6471;5507;4103;2995;1911;1734;94160
"35036 PRESIDENTE PRUDENTE";49464;45964;39486;33535;27944;23551;20268;17456;14502;10878;7149;4784;4338;299319
"35037 TUPA";9461;8892;8030;6856;5785;5045;4511;4044;3435;2692;1742;1236;1120;62849
"35038 MARILIA";25204;24198;22436;19470;16065;12933;11124;10148;9082;6818;4596;3074;2698;167846
"35039 ASSIS";21461;20484;18094;15379;12820;10768;9488;8345;7297;5498;3832;2513;2283;138262
"35040 OURINHOS";21376;20749;18429;16719;14365;11933;10101;9096;7749;5682;4045;2767;2399;145410
"35041 ITAPEVA";18986;17927;16055;13729;11066;8939;7714;6899;5704;4257;2979;1860;1516;117631
"35042 ITAPETININGA";12211;11888;11053;9519;7714;6130;5194;4656;4032;3094;2238;1457;1193;80379
"35043 TATUI";15394;14874;13617;11757;9857;8099;6829;6260;5378;4244;2978;1889;1536;102712
"35044 CAPAO BONITO";12374;10893;9447;7963;6930;5752;4760;4137;3249;2546;1711;1068;747;71577
"35045 PIEDADE";14250;13022;11323;9164;7741;6406;5461;4691;3928;2927;1843;1165;941;82862
"35046 SOROCABA";85877;85858;78197;65901;52481;40484;33233;28872;24880;18328;12220;7807;6442;540580
"35047 JUNDIAI";42502;42366;40033;34611;27665;21036;17771;14677;12542;9226;6121;3992;3391;275933
"35048 BRAGANCA PAULISTA";31040;30123;27705;24035;20226;15563;13565;11770;10735;7965;5356;3552;2974;204609
"35049 CAMPOS DO JORDAO";5665;5292;4555;3801;3037;2404;2091;1707;1471;1111;719;425;329;32607
"35050 SAO JOSE DOS CAMPOS";101323;102165;95321;84191;66214;47263;36190;28206;23874;17656;11709;7658;6280;628050
"35051 GUARATINGUETA";31306;31189;28427;24229;20261;15777;13040;11256;9503;7342;4972;3394;2737;203433
"35052 BANANAL";2112;1987;1740;1349;1210;997;970;811;780;568;415;301;242;13482
"35053 PARAIBUNA/PARAITINGA";6097;5656;4701;3869;3424;3083;2737;2445;2184;1660;1049;671;508;38084
"35054 CARAGUATATUBA";15469;14359;12734;11046;8517;6392;5158;4309;3732;2636;1705;1126;962;88145
"35055 REGISTRO";18060;16463;14643;12780;10844;9046;7854;6476;5521;4073;2702;1748;1479;111689
"35056 ITANHAEM";10603;9729;8932;8167;6722;5497;4887;4178;4017;2993;1985;1211;859;69780
"35057 OSASCO";132553;126316;114767;98351;76418;54199;40672;30141;23532;16123;9889;5994;4563;733518
"35058 FRANCO DA ROCHA";24503;23586;22832;20538;15848;10849;7873;6027;5020;3664;2238;1380;1021;145379
"35059 GUARULHOS";92740;89066;80808;70032;54863;38801;30111;22361;17859;12116;7523;4677;3524;524481
"35060 ITAPECERICA DA SERRA";62421;58691;54279;47682;37156;25535;18676;13505;10697;7187;4466;2769;2155;345219
"35061 SAO PAULO";1166611;1180312;1088608;947063;769462;579730;481435;389137;340002;247105;160139;104531;90559;7544694
"35062 MOGI DAS CRUZES";83611;80346;73923;63089;48904;35606;28229;21660;17915;12737;7991;5132;3888;483031
"35063 SANTOS";106103;106196;98498;88063;71831;56729;48875;41991;36573;27252;17785;12063;10207;722166
"Total";3118602;3087337;2835397;2455444;1991590;1523117;1271677;1055506;910974;665585;440159;290873;247661;19893922
