"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";8907;10414;11672;11836;11799;11223;11441;11198;10062;8178;6441;4714;6058;123943
"35002 FERNANDOPOLIS";6645;7559;8571;8874;8437;7999;8013;7723;6977;5625;4397;3214;4250;88284
"35003 VOTUPORANGA";9989;10971;12844;13015;12104;10923;10712;10290;9240;7154;5538;3916;4850;121546
"35004 SAO JOSE DO RIO PRETO";57771;62695;71350;73200;68923;61237;58236;55123;48375;38365;29347;20259;26721;671602
"35005 CATANDUVA";16826;18371;20365;20770;18703;16682;16042;14850;12935;10531;7964;5528;7817;187384
"35006 AURIFLAMA";3024;3535;4078;3997;3630;3414;3474;3308;2899;2316;1829;1285;1650;38439
"35007 NHANDEARA";4437;5112;6124;6175;5494;4953;4940;4685;4107;3350;2601;1949;2620;56547
"35008 NOVO HORIZONTE";5701;6279;7213;7173;6565;6028;5913;5616;5075;4145;3142;2196;2931;67977
"35009 BARRETOS";9726;11092;12543;12565;11464;10194;9530;9221;7937;6167;4620;3257;4172;112488
"35010 SAO JOAQUIM DA BARRA";17336;18047;19518;20086;18257;15986;14925;13603;11565;8949;6809;4437;5357;174875
"35011 ITUVERAVA";7355;7696;8264;8580;7909;6801;6373;6131;5404;4267;3278;2272;2910;77240
"35012 FRANCA";31852;33396;35308;33980;31230;28544;27346;25571;21986;17250;12917;8427;10121;317928
"35013 JABOTICABAL";30733;33142;35945;36230;33022;29649;28533;26570;23444;18721;14230;9808;13309;333336
"35014 RIBEIRAO PRETO";90012;94956;105915;107883;96399;81049;73020;67991;59321;47271;34971;23136;30027;911951
"35015 BATATAIS";8102;8992;9461;9470;8729;7526;7294;7050;6392;5278;4004;2733;3698;88729
"35016 ANDRADINA";12203;13814;14953;14885;15149;14639;13853;12964;10948;8824;6971;4979;6138;150320
"35017 ARACATUBA";18789;20655;24037;25286;23304;20754;19697;18504;15693;12341;9190;6325;8316;222891
"35018 BIRIGUI";19525;21561;23637;23945;22234;20775;19749;18318;15836;12593;9463;6672;8398;222706
"35019 LINS";12179;13251;14302;14691;13678;12173;11439;10658;9334;7394;5585;3878;5277;133839
"35020 BAURU";43550;45914;52283;53338;48814;42544;39401;37227;33018;26507;19402;13137;17608;472743
"35021 JAU";27397;29162;31295;32072;29906;26605;24676;23367;20309;15773;11437;7638;10694;290331
"35022 AVARE";14445;15849;16604;16383;15803;14171;12720;11684;10047;7877;5666;3765;4821;149835
"35023 BOTUCATU";16796;17655;18843;19181;18305;16335;14997;13992;12384;10005;7406;5065;6808;177772
"35024 ARARAQUARA";39105;42574;48027;48462;44565;38992;36712;34567;29771;23620;17538;11664;15457;431054
"35025 SAO CARLOS";24549;25966;28578;29899;27716;24546;22429;21255;18632;14887;10993;7290;10016;266756
"35026 RIO CLARO";19517;20809;22719;23243;21603;18851;17222;16157;14055;10976;8311;5694;7858;207015
"35027 LIMEIRA";47886;50724;55650;56107;50730;44830;41857;39008;34104;26550;19074;12506;15647;494673
"35028 PIRACICABA";45399;47431;51639;53653;49208;42966;39288;36960;32003;25915;19611;12899;16791;473763
"35029 PIRASSUNUNGA";14533;15434;16586;16878;15317;13530;12845;12280;10709;8266;6381;4268;5656;152683
"35030 SAO JOAO DA BOA VISTA";28293;31553;34392;34808;32485;29727;29184;28340;25516;20433;15235;10293;14024;334283
"35031 MOJI MIRIM";30891;33314;36088;36858;33552;29876;28375;26371;22877;18066;13247;8741;10670;328926
"35032 CAMPINAS";228363;238268;261442;269067;248329;216327;198116;179371;156377;122918;87985;56606;70095;2333264
"35033 AMPARO";12769;14142;15446;16162;15237;14289;13622;13051;11827;9766;7556;5207;7260;156334
"35034 DRACENA";8012;9276;10450;10565;9911;9147;8773;8199;7268;5809;4451;3245;4466;99572
"35035 ADAMANTINA";10801;12479;15402;14947;13166;11654;11238;10892;9681;7716;6049;4453;6246;134724
"35036 PRESIDENTE PRUDENTE";40765;45108;48425;47787;46099;43323;43504;40903;34585;27090;20672;14663;18930;471854
"35037 TUPA";6973;7713;8637;8869;8459;7918;7888;7589;6781;5414;4249;3149;4374;88013
"35038 MARILIA";24182;25549;27983;28666;27720;25422;24163;22809;20504;16551;12483;8585;11564;276181
"35039 ASSIS";19270;21218;23094;22612;21482;19921;19343;18273;15645;12304;9272;6528;8431;217393
"35040 OURINHOS";21313;23282;24583;24457;22810;21175;20365;19569;16944;13766;10493;7317;9190;235264
"35041 ITAPEVA";19191;20533;19846;19309;18085;16578;15661;14865;12500;9578;6991;4719;5823;183679
"35042 ITAPETININGA";17224;17947;19037;19079;17206;14665;13090;12028;10496;8105;5941;3851;4901;163570
"35043 TATUI";23120;23986;25714;25620;23738;20892;19103;17506;14982;11687;8659;5806;7024;227837
"35044 CAPAO BONITO";9683;10552;9849;9646;9502;9197;8469;7667;6438;5074;4000;2819;3365;96261
"35045 PIEDADE";15155;15935;15770;15637;14742;13999;13443;12594;10544;7940;6057;4251;4745;150812
"35046 SOROCABA";116120;121819;129865;131405;121508;106804;97931;90395;77132;58647;41934;26889;32864;1153313
"35047 JUNDIAI";54142;56400;62708;65338;59832;51345;46503;42219;36825;28816;20734;13524;17085;555471
"35048 BRAGANCA PAULISTA";41845;44208;47900;48812;46228;41541;37893;35397;31261;24254;18027;12174;15289;444829
"35049 CAMPOS DO JORDAO";5603;5887;5826;5754;5700;5373;5086;4591;3782;2751;2000;1339;1578;55270
"35050 SAO JOSE DOS CAMPOS";118634;124324;132406;137001;128151;111523;101672;94523;83447;67083;48169;29881;33527;1210341
"35051 GUARATINGUETA";30436;33221;35958;36488;33646;29898;28005;26857;23633;18322;13527;8949;10810;329750
"35052 BANANAL";1969;2042;2078;2006;1961;1874;1827;1727;1450;1097;875;625;845;20376
"35053 PARAIBUNA/PARAITINGA";4852;5531;5390;5309;5222;5242;5274;4899;4148;3166;2385;1819;2170;55407
"35054 CARAGUATATUBA";26572;26864;26850;27234;26865;24326;21873;18966;15852;12485;8923;5769;6300;248879
"35055 REGISTRO";17529;18532;17460;17694;18310;17090;16148;15152;13129;10641;8028;5929;7142;182784
"35056 ITANHAEM";17412;17732;17024;17274;17810;17431;17030;16619;15222;12510;9600;6789;7553;190006
"35057 OSASCO";160584;157524;165436;167960;155132;135178;120214;103054;86578;67410;47161;28069;29465;1423765
"35058 FRANCO DA ROCHA";45101;45352;46648;45761;41798;36170;31938;27427;22839;17040;11330;6499;6236;384139
"35059 GUARULHOS";128605;124176;126006;125917;117676;105442;95687;81157;67151;51710;35863;21830;23328;1104548
