"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";12447;11907;11258;11001;11218;10817;9729;8398;7162;5871;4733;3171;3061;110773
"35002 FERNANDOPOLIS";8880;8655;7947;7745;7895;7633;6785;5623;4714;3877;3083;2131;2134;77102
"35003 VOTUPORANGA";12364;12047;10877;10350;10378;9836;8760;7280;6050;4793;3711;2517;2528;101491
"35004 SAO JOSE DO RIO PRETO";67745;67759;62169;57539;56768;53060;45932;37453;30012;23480;18902;13407;13499;547725
"35005 CATANDUVA";20077;19723;17569;16564;16090;14720;12913;10666;8474;6828;5762;4271;4153;157810
"35006 AURIFLAMA";4164;3878;3485;3407;3475;3231;2833;2438;2022;1619;1312;895;827;33586
"35007 NHANDEARA";5703;5486;4899;4781;4859;4608;4102;3522;2984;2504;2046;1441;1393;48328
"35008 NOVO HORIZONTE";6911;6624;5970;5739;5731;5399;4935;4176;3362;2680;2191;1613;1589;56920
"35009 BARRETOS";12536;11957;10652;9890;9791;9281;7933;6542;5273;4175;3318;2292;2340;95980
"35010 SAO JOAQUIM DA BARRA";19756;19402;17183;15685;15029;13733;11719;9554;7506;5503;4232;2884;2817;145003
"35011 ITUVERAVA";8676;8657;7503;6746;6600;6312;5518;4551;3703;2897;2301;1530;1572;66566
"35012 FRANCA";35092;33151;30342;28677;27912;25623;21718;17483;13333;9889;7527;5135;4989;260871
"35013 JABOTICABAL";37742;36277;32284;30096;29280;26890;23398;19083;15133;11916;9673;7021;7269;286062
"35014 RIBEIRAO PRETO";97787;96492;84570;74960;71544;66763;57468;46134;35102;26435;20938;14954;15510;708657
"35015 BATATAIS";9454;9099;8061;7325;7390;7028;6284;5250;4076;3217;2602;1920;1991;73697
"35016 ANDRADINA";15300;15158;14890;14249;13705;12628;10860;9284;7723;6106;4698;3206;3264;131071
"35017 ARACATUBA";22542;22950;21205;19941;19660;18165;15413;12591;9921;7853;6303;4304;4490;185338
"35018 BIRIGUI";22581;22168;20538;19636;18961;17475;15083;12506;9982;7891;6171;4320;4352;181664
"35019 LINS";14139;13934;12565;11565;11308;10574;9356;7693;6180;4943;4068;2973;2965;112263
