"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";11541;11509;11514;10989;11175;11082;10424;9118;7813;6325;5160;3531;3656;113837
"35002 FERNANDOPOLIS";8336;8501;8208;7830;7866;7802;7377;6216;5138;4148;3360;2374;2589;79745
"35003 VOTUPORANGA";11969;12347;11667;10610;10495;10229;9539;7990;6757;5267;4098;2776;2993;106737
"35004 SAO JOSE DO RIO PRETO";66049;69712;66967;60161;57756;55780;50511;41814;34035;25851;20619;14802;16378;580435
"35005 CATANDUVA";19528;20515;18787;16981;16462;15452;13854;11811;9539;7273;6093;4587;4959;165841
"35006 AURIFLAMA";3999;3948;3638;3388;3454;3365;3058;2619;2250;1745;1413;990;998;34865
"35007 NHANDEARA";5501;5731;5308;4879;4917;4789;4407;3832;3214;2649;2193;1569;1661;50650
"35008 NOVO HORIZONTE";6729;6824;6352;5882;5817;5604;5244;4610;3797;2930;2337;1713;1892;59731
"35009 BARRETOS";11985;12294;11422;10262;9740;9680;8645;7183;5841;4524;3566;2480;2747;100369
"35010 SAO JOAQUIM DA BARRA";19113;20070;18399;16243;15352;14415;12820;10489;8553;6132;4621;3187;3326;152720
"35011 ITUVERAVA";8275;8704;8083;6982;6567;6452;5939;4979;4104;3122;2491;1705;1860;69263
"35012 FRANCA";34891;33933;31602;29256;28296;26857;23773;19445;15439;11095;8297;5773;6089;274746
"35013 JABOTICABAL";36220;37093;34030;30559;29526;27889;25280;21050;17029;12899;10362;7550;8687;298174
"35014 RIBEIRAO PRETO";96909;102605;93975;80534;73767;70223;63124;52137;40784;29615;22827;16451;18919;761870
"35015 BATATAIS";9201;9212;8665;7584;7398;7215;6706;5792;4680;3515;2779;2087;2387;77221
"35016 ANDRADINA";14673;14686;15023;14594;13952;13365;11756;10025;8491;6683;5182;3519;3855;135804
"35017 ARACATUBA";21480;23519;22726;20741;19964;19218;16923;14020;11193;8473;6857;4765;5280;195159
"35018 BIRIGUI";22060;22733;21565;20405;19580;18504;16531;13909;11266;8745;6749;4779;5224;192050
"35019 LINS";13655;14073;13356;12117;11550;11017;10083;8509;6919;5286;4304;3187;3462;117518
"35020 BAURU";50054;52410;49075;43271;40395;38642;35149;29642;23222;17275;13592;10110;11484;414321
"35021 JAU";29864;31179;29517;26640;25119;24345;21999;18080;14045;10294;8351;6395;7192;253020
"35022 AVARE";15703;15779;15332;13860;12614;11908;10699;8984;6993;5117;3977;2836;3125;126927
"35023 BOTUCATU";17630;18232;17676;15879;14631;13944;12798;10972;8777;6602;5166;3865;4471;150643
"35024 ARARAQUARA";45432;46848;44019;39064;37156;35731;31883;26456;20892;15294;11982;8805;9981;373543
"35025 SAO CARLOS";27342;29036;27218;24397;22553;21830;19678;16277;12727;9282;7436;5540;6393;229709
"35026 RIO CLARO";21590;22724;21593;19022;17533;16860;15190;12413;10005;7540;5916;4464;5503;180353
"35027 LIMEIRA";52783;54811;50539;45203;42685;40507;36502;29739;22783;16417;12386;8865;9895;423115
"35028 PIRACICABA";49180;52403;48977;43282;40007;38288;34215;28849;23108;16705;12750;9424;10869;408057
"35029 PIRASSUNUNGA";16214;16935;15462;13627;13066;12781;11521;9342;7717;5665;4470;3227;3727;133754
"35030 SAO JOAO DA BOA VISTA";34408;34883;32773;30097;29639;29199;27267;23139;18533;13772;10960;8140;9437;302247
"35031 MOJI MIRIM";34104;35521;32956;29748;28612;27212;24394;20209;15847;11517;8650;6074;6605;281449
"35032 CAMPINAS";239563;256410;243259;216198;201752;186232;165863;134629;101961;72077;54277;38183;42649;1953053
"35033 AMPARO";14583;15365;14623;13734;13024;12632;11913;10413;8616;6541;5309;3963;4672;135388
"35034 DRACENA";9540;9862;9499;8854;8595;8268;7693;6599;5464;4382;3638;2679;2883;87956
"35035 ADAMANTINA";14167;14229;12992;11718;11395;11208;10336;8818;7499;6076;5103;3791;4107;121439
"35036 PRESIDENTE PRUDENTE";48036;47552;46240;43635;44002;41901;36432;30025;24578;19218;15213;10734;11799;419365
"35037 TUPA";8802;8988;8624;8139;8103;7843;7187;6030;5075;4132;3424;2498;2824;81669
"35038 MARILIA";27992;28665;27838;25433;24117;23076;21280;18073;14650;11091;8756;6488;7529;244988
"35039 ASSIS";22665;22447;21461;19936;19478;18821;16818;14089;11443;8869;6810;5095;5529;193461
"35040 OURINHOS";24041;24030;22676;21201;20541;20098;18060;15668;12910;9930;7523;5459;5907;208044
"35041 ITAPEVA";20255;19870;18846;17339;16334;15650;13743;11361;8992;6698;5193;3639;3731;161651
"35042 ITAPETININGA";17451;18059;16768;14524;13130;12399;11305;9278;7302;5215;4034;2856;3178;135499
"35043 TATUI";23200;23962;22702;20067;18323;17068;15275;12911;10456;7724;5797;4015;4391;185891
"35044 CAPAO BONITO";10828;10510;10331;9827;9004;8278;7210;6043;5122;3984;3063;2103;2017;88320
"35045 PIEDADE";16028;16092;15272;14154;13170;12342;10827;8979;7551;5844;4275;2846;2774;130154
"35046 SOROCABA";119586;124640;118140;105497;97880;92100;81270;65278;50125;35342;26370;18459;20440;955127
"35047 JUNDIAI";56934;61633;58372;51514;47673;44241;39683;32132;24392;17470;13335;9456;10526;467361
"35048 BRAGANCA PAULISTA";43527;45141;43642;39751;36569;34405;30938;25599;20726;15408;11630;8325;9434;365095
"35049 CAMPOS DO JORDAO";5828;5741;5713;5450;5225;4837;4176;3235;2532;1859;1391;933;994;47914
"35050 SAO JOSE DOS CAMPOS";124995;133396;128040;113082;104352;98240;88322;73513;56000;38231;26807;17932;20127;1023037
"35051 GUARATINGUETA";35066;35960;33774;30354;28728;28268;25793;21187;16858;12245;8958;6324;7128;290643
"35052 BANANAL";2105;2038;2002;1887;1836;1781;1570;1274;1087;865;687;507;600;18239
"35053 PARAIBUNA/PARAITINGA";5543;5350;5208;5137;5155;4914;4360;3694;3111;2619;2011;1328;1395;49825
"35054 CARAGUATATUBA";24709;25825;25832;23347;20874;18295;15834;13224;10151;7236;5065;3392;3463;197247
"35055 REGISTRO";18397;18380;18948;17381;16147;15203;13589;11827;9706;7904;6084;4093;4267;161926
"35056 ITANHAEM";16334;16348;16560;15502;14251;13656;13322;12523;10838;8461;6192;4043;3973;152003
"35057 OSASCO";165642;173707;163983;145374;132099;116018;99563;79079;57990;38031;26085;16812;16991;1231374
"35058 FRANCO DA ROCHA";43079;43761;41074;36318;32863;29034;25287;20339;14714;9280;5955;3731;3673;309108
"35059 GUARULHOS";123004;127897;122508;111249;102548;89035;75782;60034;43819;29361;20319;13113;13289;931958
"35060 ITAPECERICA DA SERRA";90799;95937;92691;82556;73925;63115;54007;43055;31473;20763;13627;8460;8730;679138
"35061 SAO PAULO";1209470;1324741;1268379;1124761;1027279;944023;847544;703694;546466;390629;297664;213109;255082;10152841
"35062 MOGI DAS CRUZES";120678;120920;114371;103955;96459;86228;74464;58845;43304;29106;20295;13216;13431;895272
