"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";13181;11857;11060;11319;10892;9865;8512;7342;6337;5296;3945;2984;2169;104759
"35002 FERNANDOPOLIS";9250;8353;7746;7889;7699;6872;5713;4870;4187;3497;2583;1981;1459;72099
"35003 VOTUPORANGA";12016;10899;10106;10315;9833;8743;7396;6220;5104;4190;3108;2454;1779;92163
"35004 SAO JOSE DO RIO PRETO";65775;60818;56168;56250;53154;46065;38027;30802;24970;20957;15957;12483;9201;490627
"35005 CATANDUVA";19432;17553;16487;16280;14963;13182;11046;8812;7376;6469;5107;4087;2908;143702
"35006 AURIFLAMA";4089;3636;3436;3530;3307;2882;2494;2120;1747;1484;1114;838;579;31256
"35007 NHANDEARA";5412;4808;4594;4797;4591;4143;3573;3090;2721;2309;1769;1372;991;44170
"35008 NOVO HORIZONTE";6657;5989;5621;5683;5425;4938;4253;3453;2852;2449;1966;1593;1093;51972
"35009 BARRETOS";12323;10803;9820;9917;9476;8117;6779;5571;4580;3796;2893;2255;1697;88027
"35010 SAO JOAQUIM DA BARRA";19371;17342;15861;15346;14052;12051;9938;7950;6081;4895;3578;2759;2027;131251
"35011 ITUVERAVA";8856;7824;6870;6823;6511;5719;4756;3903;3207;2654;1929;1470;1132;61654
"35012 FRANCA";33896;31153;29034;28467;26263;22431;18178;14111;10664;8649;6237;4662;3392;237137
"35013 JABOTICABAL";37512;33351;30819;30237;27860;24147;19868;15947;12921;10992;8518;6889;5009;264070
"35014 RIBEIRAO PRETO";90933;81277;72738;70820;66589;57836;46950;36285;28116;23302;17811;13972;10334;616963
"35015 BATATAIS";9428;8263;7352;7398;7142;6424;5392;4265;3399;2951;2292;1825;1385;67516
"35016 ANDRADINA";15974;15363;14348;13939;12824;11063;9562;8089;6638;5355;3966;3115;2348;122584
"35017 ARACATUBA";22569;20797;19507;19572;18323;15665;12910;10366;8510;7128;5272;4198;3220;168037
"35018 BIRIGUI";22117;20428;19232;18759;17437;15167;12623;10307;8357;6897;5231;4081;3003;163639
"35019 LINS";14210;12778;11483;11224;10673;9473;7943;6438;5375;4651;3630;2903;2190;102971
"35020 BAURU";51410;46443;41744;40530;38099;33369;27354;21202;16907;14436;11391;8983;6676;358544
"35021 JAU";30794;27671;25304;24912;23543;20379;16475;12770;10354;9145;7315;5800;4300;218762
"35022 AVARE";15907;14311;12771;12173;11291;9817;8044;6239;4954;4160;3201;2470;1807;107145
"35023 BOTUCATU";17989;16225;14499;13922;13197;11709;9763;7769;6251;5322;4298;3457;2654;127055
"35024 ARARAQUARA";44963;40604;36971;36591;34378;29601;24227;18898;14960;12629;9860;7811;5682;317175
"35025 SAO CARLOS";27499;25232;22911;22099;20913;18109;14665;11368;8987;7708;6060;4833;3616;194000
"35026 RIO CLARO";21651;19877;17797;17351;16456;14094;11501;9291;7437;6339;5180;4373;3300;154647
"35027 LIMEIRA";51850;46422;42833;42051;39170;33834;26827;20427;15648;12854;9866;7711;5320;354813
"35028 PIRACICABA";50287;45139;40634;39503;37058;32161;26744;20760;15965;13319;10486;8502;6160;346718
"35029 PIRASSUNUNGA";16399;14503;13305;13344;12528;10582;8765;7071;5579;4696;3713;2973;2066;115524
"35030 SAO JOAO DA BOA VISTA";37016;32806;30239;30550;29354;26082;21558;17030;13737;11855;9511;7699;5431;272868
"35031 MOJI MIRIM";34216;30553;28300;27956;26087;22594;18419;14308;10998;8854;6743;5262;3709;237999
"35032 CAMPINAS";231072;215488;197790;191357;176164;151669;120322;89579;67352;54365;40808;31757;22695;1590418
"35033 AMPARO";15289;13934;12885;12577;12104;10947;9280;7541;6212;5434;4316;3520;2649;116688
"35034 DRACENA";9971;8877;8309;8351;7964;7151;6075;5147;4476;3925;3037;2390;1726;77399
"35035 ADAMANTINA";13837;12378;11404;11545;11116;9883;8456;7234;6329;5554;4412;3443;2535;108126
"35036 PRESIDENTE PRUDENTE";51141;46907;44468;44532;40364;33855;28044;22975;18906;15745;11912;9210;6670;374729
"35037 TUPA";9993;8954;8313;8334;7846;6898;5742;4885;4177;3608;2789;2239;1692;75470
"35038 MARILIA";29917;27704;24978;24101;22742;19963;16571;13330;10684;9141;7264;5739;4310;216444
"35039 ASSIS";23120;21071;19727;19657;18234;15704;13069;10723;8746;7352;5764;4549;3386;171102
"35040 OURINHOS";25499;22475;20731;20709;19541;17164;14721;12023;9639;7993;6173;4722;3482;184872
"35041 ITAPEVA";22330;19271;17403;16984;15668;13217;10747;8411;6815;5689;4230;3191;2242;146198
"35042 ITAPETININGA";17035;14907;13138;12585;11935;10331;8395;6493;5067;4208;3217;2552;1929;111792
"35043 TATUI";21987;19721;17650;16936;15633;13551;11276;8991;7070;5760;4404;3518;2526;149023
