"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";12080;11666;11358;10923;11232;10914;9978;8625;7399;6022;4928;3269;3266;111660
"35002 FERNANDOPOLIS";8673;8553;8008;7745;7896;7696;7030;5800;4854;3956;3198;2204;2295;77908
"35003 VOTUPORANGA";12307;12132;11149;10357;10446;9978;9059;7460;6324;4942;3871;2582;2686;103293
"35004 SAO JOSE DO RIO PRETO";67569;68485;63933;58036;57149;54139;47594;38765;31441;24085;19615;13819;14505;559135
"35005 CATANDUVA";19971;20076;17918;16618;16282;14980;13226;11069;8836;6912;5932;4372;4422;160614
"35006 AURIFLAMA";4128;3881;3521;3376;3487;3278;2911;2489;2113;1652;1358;922;883;33999
"35007 NHANDEARA";5673;5560;5015;4784;4905;4678;4209;3628;3060;2555;2113;1478;1487;49145
"35008 NOVO HORIZONTE";6882;6684;6079;5761;5775;5465;5046;4327;3513;2755;2249;1638;1694;57868
"35009 BARRETOS";12368;12065;10903;9965;9744;9487;8176;6740;5469;4285;3424;2340;2485;97451
"35010 SAO JOAQUIM DA BARRA";19577;19740;17553;15764;15159;13985;12119;9828;7920;5657;4389;2975;2985;147651
"35011 ITUVERAVA";8532;8697;7707;6762;6577;6382;5675;4682;3853;2953;2388;1582;1676;67466
"35012 FRANCA";35133;33288;30695;28766;28103;26107;22444;18077;14102;10178;7810;5339;5370;265412
"35013 JABOTICABAL";37263;36659;32787;30069;29434;27233;24101;19682;15800;12142;9969;7165;7780;290084
"35014 RIBEIRAO PRETO";98119;99126;87753;76263;72175;68151;59517;48103;37032;27211;21645;15408;16745;727248
"35015 BATATAIS";9341;9124;8267;7333;7411;7097;6439;5431;4286;3288;2669;1979;2128;74793
"35016 ANDRADINA";15071;14856;14976;14359;13771;12940;11130;9515;8011;6290;4893;3282;3476;132570
"35017 ARACATUBA";22216;23212;21708;20111;19786;18610;15920;13061;10355;8004;6561;4433;4767;188744
"35018 BIRIGUI";22429;22354;20823;19889;19193;17851;15579;12954;10415;8169;6381;4463;4652;185152
"35019 LINS";13943;13985;12821;11700;11395;10739;9623;7957;6444;5024;4180;3042;3130;113983
"35020 BAURU";51548;51673;46916;41743;39998;37811;33523;27540;21215;16132;13096;9615;10263;401073
"35021 JAU";30562;30813;28274;25772;24848;23771;20790;16675;12836;9690;8178;6142;6454;244805
"35022 AVARE";15911;15563;14750;13238;12267;11516;10097;8300;6359;4753;3814;2670;2791;122029
"35023 BOTUCATU";17962;17989;16931;15125;14282;13530;12133;10178;8016;6124;4954;3680;4005;144909
"35024 ARARAQUARA";46426;45886;41960;37648;36827;34698;30101;24523;19111;14192;11499;8358;8892;360121
"35025 SAO CARLOS";27945;28588;26000;23424;22170;21290;18535;15024;11552;8606;7142;5246;5677;221199
