"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";13065;11575;11142;11284;10796;9575;8314;7162;6290;5138;3864;2972;1932;103109
"35002 FERNANDOPOLIS";9168;8144;7756;7895;7635;6604;5560;4770;4146;3368;2522;1969;1292;70829
"35003 VOTUPORANGA";11809;10543;10149;10227;9688;8430;7206;5981;5042;4042;3055;2470;1565;90207
"35004 SAO JOSE DO RIO PRETO";64726;59040;55965;55882;52055;44318;36754;29491;24585;20240;15634;12368;8121;479179
"35005 CATANDUVA";19012;17193;16526;16085;14736;12839;10637;8487;7369;6312;5063;4062;2557;140878
"35006 AURIFLAMA";4031;3559;3474;3521;3244;2796;2452;2036;1741;1446;1091;830;510;30731
"35007 NHANDEARA";5261;4665;4629;4756;4531;4021;3485;3044;2702;2249;1743;1366;881;43333
"35008 NOVO HORIZONTE";6507;5829;5628;5639;5352;4822;4099;3319;2825;2403;1955;1587;955;50920
"35009 BARRETOS";12029;10488;9809;9962;9266;7869;6600;5391;4534;3711;2852;2268;1514;86293
"35010 SAO JOAQUIM DA BARRA";18961;16957;15802;15165;13790;11617;9691;7567;5985;4735;3506;2773;1792;128341
"35011 ITUVERAVA";8765;7557;6878;6831;6442;5538;4633;3781;3184;2572;1883;1485;1013;60562
"35012 FRANCA";33513;30607;28985;28243;25784;21623;17578;13340;10485;8310;6052;4628;3002;232150
"35013 JABOTICABAL";36843;32737;30935;30014;27460;23363;19261;15304;12826;10683;8439;6903;4404;259172
"35014 RIBEIRAO PRETO";88342;78332;71752;70058;65192;55587;44974;34362;27505;22497;17394;13854;9079;598928
"35015 BATATAIS";9277;7962;7335;7386;7068;6244;5206;4051;3377;2871;2248;1830;1224;66079
"35016 ANDRADINA";16038;15145;14277;13840;12524;10783;9367;7843;6534;5166;3912;3124;2098;120651
"35017 ARACATUBA";22172;20313;19458;19486;17902;15133;12479;9972;8456;6872;5167;4252;2849;164511
"35018 BIRIGUI";21704;20037;19045;18539;17066;14625;12204;9901;8195;6697;5111;4093;2639;159856
"35019 LINS";14000;12389;11356;11155;10520;9201;7681;6215;5369;4545;3599;2913;1953;100896
"35020 BAURU";50728;45248;41443;40349;37504;32358;26236;20240;16699;14148;11195;8965;5905;351018
"35021 JAU";30147;26955;25131;24781;23104;19639;15803;12205;10334;8997;7223;5794;3811;213924
"35022 AVARE";15605;13887;12589;12043;11039;9480;7697;5951;4884;4067;3130;2469;1595;104436
"35023 BOTUCATU";17602;15707;14239;13786;12944;11296;9364;7413;6126;5228;4229;3455;2351;123740
"35024 ARARAQUARA";44094;39425;36750;36422;33636;28593;23279;18028;14749;12306;9714;7772;5002;309770
"35025 SAO CARLOS";27045;24639;22576;21975;20512;17419;14075;10795;8879;7484;5974;4788;3198;189359
"35026 RIO CLARO";21354;19283;17588;17330;16130;13540;11157;8903;7330;6222;5169;4416;2904;151326
"35027 LIMEIRA";50533;45241;42670;41614;38535;32456;25680;19359;15333;12465;9692;7654;4639;345871
"35028 PIRACICABA";49235;43847;40202;39310;36281;31213;25740;19669;15664;12945;10375;8470;5406;338357
"35029 PIRASSUNUNGA";16033;14141;13331;13349;12204;10213;8524;6750;5498;4594;3679;2961;1807;113084
"35030 SAO JOAO DA BOA VISTA";36443;32056;30388;30581;29072;25285;20798;16320;13666;11643;9478;7700;4773;268203
"35031 MOJI MIRIM";33330;29767;28158;27690;25565;21781;17707;13602;10716;8586;6618;5244;3248;232012
"35032 CAMPINAS";226806;209120;195580;188309;172418;145673;114433;84329;65477;52273;39725;31496;19810;1545449
"35033 AMPARO";14987;13626;12723;12483;11939;10575;8934;7194;6161;5277;4259;3506;2334;113998
"35034 DRACENA";9694;8646;8301;8284;7863;6919;5912;5016;4482;3840;2988;2402;1519;75866
"35035 ADAMANTINA";13609;12048;11418;11551;10978;9613;8245;7089;6314;5496;4351;3458;2257;106427
"35036 PRESIDENTE PRUDENTE";50684;46167;44796;44163;39265;32726;27168;22179;18627;15295;11644;9213;5874;367801
"35037 TUPA";9922;8779;8382;8302;7789;6660;5625;4745;4170;3515;2755;2252;1501;74397
"35038 MARILIA";29858;27099;24745;24004;22393;19282;16034;12736;10527;8975;7126;5749;3809;212337
"35039 ASSIS";22823;20674;19784;19529;17857;15186;12685;10371;8613;7250;5649;4614;2987;168022
"35040 OURINHOS";24960;21949;20716;20665;19153;16752;14292;11566;9465;7860;6036;4743;3089;181246
"35041 ITAPEVA";21857;18838;17376;16975;15327;12817;10324;8107;6775;5561;4147;3208;1982;143294
"35042 ITAPETININGA";16520;14372;12873;12505;11668;9929;8039;6168;4988;4082;3164;2556;1712;108576
"35043 TATUI";21314;18950;17304;16623;15168;12983;10781;8511;6893;5562;4320;3526;2205;144140
"35044 CAPAO BONITO";13195;11407;10214;9451;8241;6892;5912;4893;4040;3193;2309;1764;1041;82552
"35045 PIEDADE";17187;15174;13966;13314;11789;9545;8001;6579;5374;4270;3046;2245;1309;111799
"35046 SOROCABA";114869;102632;94776;92026;84005;69711;54987;41077;32062;25766;19789;15750;9798;757248
"35047 JUNDIAI";54592;49347;45704;44284;41151;34865;27458;20501;16232;13004;9794;7869;5051;369852
"35048 BRAGANCA PAULISTA";42286;37949;34507;33253;30776;26165;21493;16682;13289;11063;8815;7026;4482;287786
"35049 CAMPOS DO JORDAO";6268;5791;5403;5117;4524;3652;2898;2266;1816;1427;1050;820;499;41531
"35050 SAO JOSE DOS CAMPOS";127203;113484;103888;101169;93492;79952;63453;45339;33102;25034;18619;15027;9691;829453
"35051 GUARATINGUETA";36363;31845;29252;29278;27706;23403;19151;14821;11519;9306;7107;5741;3750;249242
"35052 BANANAL";2294;2023;1909;1891;1696;1385;1191;1011;884;753;576;495;329;16437
"35053 PARAIBUNA/PARAITINGA";6216;5575;5347;5188;4605;3889;3357;2984;2563;2072;1604;1220;702;45322
"35054 CARAGUATATUBA";24018;22129;19971;18028;15685;13109;10406;7781;5879;4483;3232;2445;1540;148706
"35055 REGISTRO";23263;19586;17329;16382;14679;12607;10593;8923;7525;5950;4399;3409;2158;146803
"35056 ITANHAEM";17330;15277;13547;12796;12092;10901;9408;7884;6619;5230;3930;3015;1755;119784
"35057 OSASCO";171231;155715;141728;129436;113245;93292;71753;49818;35148;25540;17671;13161;7770;1025508
"35058 FRANCO DA ROCHA";40286;35418;32089;29657;26468;22275;17035;11595;7909;5676;4033;3103;1820;237364
"35059 GUARULHOS";122282;114846;107275;97953;84684;69072;52842;37154;26808;19507;13622;10116;5906;762067
"35060 ITAPECERICA DA SERRA";89506;80648;72898;65984;57723;47540;36289;25100;17392;12337;8346;6101;3831;523695
"35061 SAO PAULO";1286689;1201912;1106271;1042709;948797;812146;655773;489816;382607;306810;239629;195534;124161;8792854
"35062 MOGI DAS CRUZES";115608;104108;97233;91108;80182;65454;50065;35477;25978;19395;13878;10597;6372;715455
"35063 SANTOS";128738;117529;108382;104585;96772;84093;68759;53368;43739;35970;28278;22920;14383;907516
"Total";3709830;3385931;3131653;2992200;2727707;2317324;1867537;1412332;1114005;894314;687457;550516;349446;25140252
