"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";11107;11656;11595;11273;11013;11232;10801;9631;8174;6636;5253;3880;4062;116313
"35002 FERNANDOPOLIS";8000;8539;8480;8005;7815;7887;7595;6688;5420;4390;3460;2583;2879;81741
"35003 VOTUPORANGA";11294;12608;12192;11107;10490;10441;9878;8668;7061;5630;4252;3048;3301;109970
"35004 SAO JOSE DO RIO PRETO";63064;70481;69495;63428;58288;56862;52949;45225;36343;28255;21289;16018;18226;599923
"35005 CATANDUVA";18748;20588;19815;17603;16460;15860;14451;12506;10220;7848;6104;4841;5519;170563
"35006 AURIFLAMA";3807;4063;3801;3463;3388;3437;3191;2778;2336;1869;1429;1072;1117;35751
"35007 NHANDEARA";5189;5886;5643;5066;4859;4884;4581;4024;3380;2741;2219;1680;1842;51994
"35008 NOVO HORIZONTE";6423;7001;6691;6086;5819;5739;5409;4873;4057;3137;2396;1815;2091;61537
"35009 BARRETOS";11479;12473;11957;10710;9849;9651;9091;7661;6186;4790;3655;2672;2996;103170
"35010 SAO JOAQUIM DA BARRA";18424;20010;19344;17041;15502;14777;13407;11260;8987;6796;4791;3446;3686;157471
"35011 ITUVERAVA";7994;8592;8430;7391;6607;6451;6146;5304;4303;3356;2535;1862;2036;71007
"35012 FRANCA";34071;34875;32705;30067;28334;27365;24941;20970;16559;12376;8731;6259;6800;284053
"35013 JABOTICABAL";34811;37140;35503;31614;29439;28493;26180;22560;18135;14004;10587;8056;9532;306054
"35014 RIBEIRAO PRETO";93265;104037;100062;86505;75801;71573;66161;56225;44395;32967;23865;17710;20923;793489
"35015 BATATAIS";9114;9309;9031;8066;7344;7304;6909;6150;5039;3850;2877;2201;2642;79836
"35016 ANDRADINA";14290;14884;14907;14838;14180;13593;12460;10573;8863;7112;5394;3855;4226;139175
"35017 ARACATUBA";20522;23523;23777;21655;20090;19527;17899;14987;12000;9139;6959;5201;5797;201076
"35018 BIRIGUI";21492;23060;22514;20931;19907;19043;17409;14907;12093;9367;7082;5147;5790;198742
"35019 LINS";13373;14126;13944;12688;11692;11245;10456;9077;7339;5670;4349;3357;3819;121135
"35020 BAURU";47645;52717;51192;45576;40986;39177;36508;31646;25276;18815;14031;10644;12660;426873
"35021 JAU";29145;31252;30740;27876;25538;24582;22986;19495;15223;11246;8430;6636;7917;261066
