"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12319;11335;11383;10638;9343;7899;7164;6412;5414;4295;2903;1856;1793;92754
"35002 FERNANDOPOLIS";8225;7753;7902;7324;6364;5330;4689;4091;3407;2806;1921;1206;1153;62171
"35003 VOTUPORANGA";9909;9663;9897;9190;7965;6838;5738;5094;4205;3355;2380;1435;1406;77075
"35004 SAO JOSE DO RIO PRETO";56210;54698;55507;50444;42897;35530;29059;24588;21200;17268;11704;7598;7210;413913
"35005 CATANDUVA";18216;17693;16942;15137;13354;10797;8807;7746;7019;5845;4053;2429;2497;130535
"35006 AURIFLAMA";3894;3581;3649;3241;2783;2472;1963;1789;1573;1227;811;467;482;27932
"35007 NHANDEARA";4626;4576;4678;4416;3836;3398;3054;2682;2327;1867;1332;877;810;38479
"35008 NOVO HORIZONTE";5722;5515;5596;5136;4659;3926;3242;2797;2533;2176;1552;971;841;44666
"35009 BARRETOS";10767;10047;10521;9358;7847;6577;5627;4768;4155;3296;2263;1490;1495;78211
"35010 SAO JOAQUIM DA BARRA";17017;15891;15746;14065;11862;9833;7571;6333;5140;4066;2828;1747;1620;113719
"35011 ITUVERAVA";7732;7151;7217;6763;5661;4736;3875;3399;2879;2192;1528;998;990;55121
"35012 FRANCA";31665;30582;29431;26127;22011;17808;13647;11151;9089;6974;4548;2948;2783;208764
"35013 JABOTICABAL";34068;32454;31747;28104;23915;19561;15801;13285;11675;9654;6802;4240;4143;235449
"35014 RIBEIRAO PRETO";72474;67849;68512;63166;54047;43051;33811;27559;23335;19011;12881;8006;7968;501670
"35015 BATATAIS";7686;7246;7431;6937;6185;5015;4011;3403;3050;2541;1691;1104;1065;57365
"35016 ANDRADINA";15775;14284;14075;12496;10762;9518;7969;6635;5515;4369;3089;2010;2010;108507
"35017 ARACATUBA";20426;19284;19916;17654;15026;12242;10257;8668;7331;5890;4190;2601;2629;146114
"35018 BIRIGUI";20279;18956;18700;16610;14414;11793;9906;8248;7263;5756;4071;2539;2457;140992
"35019 LINS";11934;10781;10977;10101;8935;7446;6060;5412;4795;4093;2892;1849;1798;87073
"35020 BAURU";45450;41016;41145;37422;32455;25479;20439;17106;15421;12661;8789;5520;5317;308220
"35021 JAU";27224;25031;25548;23130;19611;15467;12255;10625;9979;8549;5655;3706;3671;190451
"35022 AVARE";12826;11719;11605;10554;9126;7166;5610;4894;4259;3568;2412;1555;1426;86720
"35023 BOTUCATU";15606;13966;13813;12679;11039;9034;7264;6100;5811;4750;3354;2243;2224;107883
"35024 ARARAQUARA";38666;36030;36751;33087;28396;22418;17787;14861;13236;10925;7544;4680;4417;268798
"35025 SAO CARLOS";23579;21764;22047;19918;17205;13381;10757;9151;7999;6715;4624;3015;2963;163118
"35026 RIO CLARO";18134;16661;17100;15642;13144;10979;9049;7422;6764;6008;4374;2801;2815;130893
"35027 LIMEIRA";45227;42897;42755;38711;32836;25363;19645;15768;13605;11125;7523;4366;3915;303736
"35028 PIRACICABA";42575;38955;39779;35850;31052;24903;19508;15919;13786;11682;8109;5190;4799;292107
"35029 PIRASSUNUNGA";14894;13797;14053;12390;10360;8543;6943;5769;5044;4293;3041;1844;1635;102606
"35030 SAO JOAO DA BOA VISTA";32465;30546;31155;29310;25456;20331;16304;14063;12819;10983;7539;4899;4398;240268
"35031 MOJI MIRIM";28931;27685;27805;25384;21669;17250;13412;10723;9277;7603;5129;3030;2967;200865
"35032 CAMPINAS";195072;187744;184414;168462;143710;110105;82922;65846;54866;44002;29872;18030;16895;1301940
"35033 AMPARO";13159;11951;12027;11461;10352;8384;6828;6154;5427;4710;3424;2222;2195;98294
"35034 DRACENA";8611;7942;8056;7660;6705;5503;4956;4578;3995;3375;2288;1480;1324;66473
"35035 ADAMANTINA";12170;11157;11483;10659;9439;8025;7045;6358;5897;4853;3368;2243;2045;94742
"35036 PRESIDENTE PRUDENTE";47652;45440;44724;38168;32449;26657;22364;18806;16350;12966;8923;5527;5285;325311
"35037 TUPA";9127;8342;8308;7688;6493;5476;4827;4249;3680;3085;2197;1372;1393;66237
"35038 MARILIA";26412;23460;23275;21709;18879;15268;12417;10398;9487;7991;5538;3431;3277;181542
"35039 ASSIS";21550;20441;20231;17972;15380;12432;10508;8949;7962;6419;4560;2951;2755;152110
"35040 OURINHOS";22289;20392;20975;18784;16849;14066;11518;9800;8551;6987;4713;3087;2959;160970
"35041 ITAPEVA";19821;18005;17946;15667;13063;10219;8389;7052;6449;4876;3311;2135;1793;128726
"35042 ITAPETININGA";13328;11974;12082;11078;9526;7458;6009;4928;4401;3568;2476;1699;1443;89970
"35043 TATUI";17622;16146;16097;14407;12574;10198;8448;6962;6197;4929;3599;2288;1941;121408
"35044 CAPAO BONITO";12353;10279;9256;8157;6994;5994;4961;4082;3454;2579;1783;1122;892;71906
"35045 PIEDADE";14748;13417;12595;10947;8877;7283;6172;5092;4406;3355;2235;1243;1126;91496
"35046 SOROCABA";95503;88931;89590;80911;67506;52144;40472;31725;27610;22033;15281;9216;8252;629174
"35047 JUNDIAI";43458;40978;40776;38486;33095;25593;19335;15851;13060;10515;7225;4392;4013;296777
"35048 BRAGANCA PAULISTA";34840;31682;30422;28736;24532;19930;15715;12910;11263;9532;6584;4016;3705;233867
"35049 CAMPOS DO JORDAO";5298;4720;4430;3871;3202;2461;2122;1656;1426;1113;838;455;379;31971
"35050 SAO JOSE DOS CAMPOS";104974;98771;99693;91287;80352;61448;44827;32484;26049;20473;14225;8747;8096;691426
"35051 GUARATINGUETA";32715;29673;30791;27384;23535;18879;15398;11819;10291;8135;5888;3667;3450;221625
"35052 BANANAL";2006;1828;1906;1653;1335;1133;975;900;792;692;472;279;320;14291
"35053 PARAIBUNA/PARAITINGA";5610;5189;4955;4093;3646;3028;2834;2472;2168;1773;1198;691;595;38252
"35054 CARAGUATATUBA";18714;17280;15951;13674;11708;8702;6838;5231;4311;3315;2080;1281;1162;110247
"35055 REGISTRO";19770;16660;16080;14309;12418;10058;8987;7301;6018;4823;3253;2051;1815;123543
"35056 ITANHAEM";13819;12014;11126;10414;9329;7541;6691;5401;4682;3850;2630;1475;1283;90255
"35057 OSASCO";156358;146743;135968;118693;99578;74039;53066;36849;28507;20463;13102;7437;6255;897058
"35058 FRANCO DA ROCHA";31943;29047;28231;25731;22256;16019;11212;7684;6040;4506;3035;1734;1400;188838
"35059 GUARULHOS";116187;111221;103179;89486;74839;55438;40490;28651;21966;16164;10271;5835;5008;678735
"35060 ITAPECERICA DA SERRA";78725;71402;65658;58816;49196;36542;25203;17541;13027;9363;5761;3291;2898;437423
"35061 SAO PAULO";1175983;1120355;1079180;976295;846375;669786;512158;401688;334156;272812;190047;112671;107442;7798948
"35062 MOGI DAS CRUZES";100830;94047;88726;79261;65504;48871;35906;26447;20850;15817;10322;5969;5234;597784
"35063 SANTOS";110379;102362;101334;93949;82998;65933;53037;43407;37589;31346;21548;12704;11953;768539
"Total";3295547;3098999;3022848;2730852;2346909;1848697;1433854;1139732;960832;775963;533579;323961;304280;21816053
