"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";9123;10798;11815;11701;11710;11105;11493;11079;9815;7916;6254;4619;5826;123254
"35002 FERNANDOPOLIS";6745;7800;8680;8810;8273;7930;8021;7652;6839;5397;4250;3137;4083;87617
"35003 VOTUPORANGA";10065;11177;13125;12802;11812;10718;10706;10158;9028;6829;5386;3799;4655;120260
"35004 SAO JOSE DO RIO PRETO";57876;63671;72591;72389;67492;59831;57904;54457;46976;36718;28233;19445;25697;663280
"35005 CATANDUVA";16957;18719;20664;20620;18150;16437;16018;14610;12588;10193;7643;5339;7591;185529
"35006 AURIFLAMA";3036;3674;4156;3920;3540;3387;3498;3260;2819;2237;1783;1245;1592;38147
"35007 NHANDEARA";4415;5251;6247;6068;5309;4879;4963;4631;4004;3260;2523;1928;2538;56016
"35008 NOVO HORIZONTE";5695;6416;7336;7035;6383;5948;5902;5530;4967;4018;3022;2130;2833;67215
"35009 BARRETOS";9819;11415;12738;12400;11163;10004;9457;9202;7686;5942;4461;3179;4033;111499
"35010 SAO JOAQUIM DA BARRA";17303;18279;19767;19998;17754;15655;14830;13397;11239;8602;6606;4221;5153;172804
"35011 ITUVERAVA";7374;7823;8354;8581;7719;6622;6341;6111;5281;4115;3182;2203;2811;76517
"35012 FRANCA";31991;33919;35521;33314;30610;28253;27279;25258;21326;16532;12394;7982;9676;314055
"35013 JABOTICABAL";31057;33864;36440;36004;32214;29228;28507;26194;22891;17996;13695;9438;12870;330398
"35014 RIBEIRAO PRETO";89535;95773;107522;106652;93228;78478;72016;67279;57691;45401;33337;22010;28873;897795
"35015 BATATAIS";8220;9224;9459;9372;8527;7320;7313;6986;6262;5103;3835;2623;3569;87813
"35016 ANDRADINA";12454;14202;15048;14680;15144;14558;13710;12807;10551;8557;6781;4841;5884;149217
"35017 ARACATUBA";19078;20855;24543;25100;22693;20371;19601;18297;15150;11878;8812;6111;8031;220520
"35018 BIRIGUI";19688;21997;23818;23624;21710;20593;19561;18001;15332;12116;9073;6479;8048;220040
"35019 LINS";12303;13506;14379;14581;13350;11936;11354;10519;9114;7129;5391;3764;5132;132458
"35020 BAURU";43758;46559;53456;52758;47629;41568;39053;36867;32200;25539;18457;12630;17008;467482
"35021 JAU";27507;29587;31524;31855;29238;26096;24440;23203;19759;15128;10913;7338;10416;287004
"35022 AVARE";14579;16143;16554;16137;15574;13850;12448;11519;9750;7590;5393;3621;4660;147818
"35023 BOTUCATU";16921;17814;18936;18983;17996;15938;14750;13788;12058;9657;7064;4880;6578;175363
"35024 ARARAQUARA";39374;43352;48853;47799;43507;38062;36504;34204;28853;22712;16762;11131;14927;426040
"35025 SAO CARLOS";24608;26317;28983;29787;27017;24033;22096;21100;18085;14284;10450;6933;9678;263371
"35026 RIO CLARO";19607;21089;22976;23084;21145;18391;17011;16021;13668;10514;8012;5479;7626;204623
"35027 LIMEIRA";48241;51276;56401;55463;49307;43994;41521;38527;33206;25358;18096;11918;15021;488329
"35028 PIRACICABA";45576;47881;52242;53454;47905;41998;38780;36625;31042;25038;18803;12234;16173;467751
"35029 PIRASSUNUNGA";14584;15684;16753;16790;14875;13266;12796;12200;10405;7894;6197;4068;5473;150985
"35030 SAO JOAO DA BOA VISTA";28756;32461;34773;34561;31804;29351;29215;28160;24980;19679;14594;9887;13594;331815
"35031 MOJI MIRIM";31161;33833;36371;36568;32582;29335;28230;25989;22218;17348;12628;8333;10220;324816
"35032 CAMPINAS";228616;239345;264497;267011;242215;211215;195947;175956;152198;117353;83023;53484;67059;2297919
"35033 AMPARO";12919;14445;15553;16078;14871;14122;13429;12888;11546;9421;7260;4986;7017;154535
"35034 DRACENA";8125;9521;10549;10403;9682;9009;8703;8080;7100;5604;4308;3185;4334;98603
"35035 ADAMANTINA";10861;12848;15896;14504;12746;11442;11221;10826;9438;7447;5897;4378;6075;133579
"35036 PRESIDENTE PRUDENTE";41363;46306;48753;47114;45581;42947;43739;40222;33279;25979;19912;14229;18191;467615
"35037 TUPA";7069;7937;8794;8836;8337;7863;7923;7511;6616;5198;4124;3085;4231;87524
"35038 MARILIA";24619;25955;28389;28483;27394;25014;23978;22500;20005;15915;11951;8252;11153;273608
"35039 ASSIS";19533;21710;23343;22219;21172;19679;19298;18063;15146;11853;8937;6354;8136;215443
"35040 OURINHOS";21603;23814;24641;24161;22322;20977;20267;19424;16421;13387;10119;7098;8836;233070
"35041 ITAPEVA";19712;20946;19568;19157;17810;16426;15554;14766;12071;9220;6715;4568;5626;182139
"35042 ITAPETININGA";17261;18022;19096;18836;16684;14227;12857;11877;10244;7759;5699;3663;4738;160963
"35043 TATUI";23245;24027;25861;25211;23160;20332;18743;17147;14481;11232;8310;5575;6740;224064
"35044 CAPAO BONITO";10100;10852;9680;9653;9500;9228;8360;7563;6241;4912;3917;2747;3232;95985
"35045 PIEDADE";15562;16154;15690;15562;14516;13899;13281;12359;10115;7582;5884;4134;4511;149249
"35046 SOROCABA";117204;122478;130434;130014;118526;104316;96596;89011;74547;55799;39801;25454;31508;1135688
"35047 JUNDIAI";53859;56684;63585;64954;58234;50009;45949;41536;35920;27525;19651;12850;16398;547154
"35048 BRAGANCA PAULISTA";42224;44510;48178;48210;45225;40623;37137;34772;30251;23085;17223;11631;14627;437696
"35049 CAMPOS DO JORDAO";5721;5983;5763;5697;5668;5340;5041;4504;3643;2599;1926;1290;1513;54688
"35050 SAO JOSE DOS CAMPOS";119701;125276;133222;136615;125520;108809;100476;93313;81273;64439;45399;27881;31742;1193666
"35051 GUARATINGUETA";30738;33940;36283;36177;32867;29335;27807;26767;23043;17573;12991;8567;10376;326464
"35052 BANANAL";2016;2068;2075;1978;1949;1862;1821;1708;1400;1049;859;606;823;20214
"35053 PARAIBUNA/PARAITINGA";5026;5722;5306;5265;5169;5256;5281;4803;3998;3052;2316;1820;2082;55096
"35054 CARAGUATATUBA";26784;26777;26642;27045;26604;23754;21329;18290;15230;11954;8398;5454;5929;244190
"35055 REGISTRO";18247;18886;17142;17756;18404;16837;15974;14916;12690;10319;7701;5845;6813;181530
"35056 ITANHAEM";17812;17797;16707;17173;17713;17116;16596;16202;14743;12083;9199;6561;7100;186802
"35057 OSASCO";161649;157173;167364;167531;152430;132903;118873;100624;84290;64621;44459;26027;27855;1405799
"35058 FRANCO DA ROCHA";45502;45129;46581;45058;40778;35301;31347;26689;22175;16309;10632;6035;5879;377415
