"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";12760;11109;11342;11167;10538;8980;7908;6956;6202;4887;3790;2698;1565;99902
"35002 FERNANDOPOLIS";8948;7781;7803;7881;7451;6067;5254;4661;4067;3142;2465;1778;1038;68336
"35003 VOTUPORANGA";11324;9902;10256;10007;9323;7798;6802;5606;4929;3782;3027;2291;1230;86277
"35004 SAO JOSE DO RIO PRETO";62135;55861;55672;54902;49496;40779;34100;27425;23841;18998;15352;11076;6445;456082
"35005 CATANDUVA";18066;16598;16643;15625;14177;12151;9810;8015;7374;6062;5099;3671;2007;135298
"35006 AURIFLAMA";3884;3430;3558;3486;3090;2623;2368;1904;1741;1380;1073;747;407;29691
"35007 NHANDEARA";4886;4412;4716;4672;4382;3775;3301;2998;2669;2154;1734;1236;709;41644
"35008 NOVO HORIZONTE";6183;5551;5658;5527;5171;4582;3785;3114;2775;2335;1981;1444;735;48841
"35009 BARRETOS";11363;9934;9818;10016;8795;7367;6227;5140;4448;3576;2844;2091;1244;82863
"35010 SAO JOAQUIM DA BARRA";18073;16302;15723;14756;13186;10734;9181;6946;5806;4461;3444;2565;1435;122612
"35011 ITUVERAVA";8532;7091;6917;6821;6266;5174;4380;3607;3144;2434;1832;1381;834;58413
"35012 FRANCA";32526;29732;28970;27695;24673;19988;16351;12042;10139;7716;5823;4164;2397;222216
"35013 JABOTICABAL";35334;31749;31272;29478;26490;21786;18036;14331;12658;10174;8487;6343;3458;249596
"35014 RIBEIRAO PRETO";82483;72889;69895;68206;61915;50999;40875;31124;26275;21089;16968;12412;7096;562226
"35015 BATATAIS";8901;7422;7326;7342;6882;5881;4819;3695;3338;2736;2222;1673;975;63212
"35016 ANDRADINA";16040;14851;14181;13603;11844;10219;8959;7518;6340;4846;3903;2872;1726;116902
"35017 ARACATUBA";21234;19475;19413;19248;16936;14052;11599;9378;8365;6431;5089;3992;2284;157496
"35018 BIRIGUI";20739;19380;18723;18026;16226;13524;11343;9272;7877;6363;4976;3763;2075;152287
"35019 LINS";13504;11699;11131;10986;10146;8636;7136;5889;5365;4380;3623;2679;1589;96763
"35020 BAURU";48965;43180;40965;39832;36071;30323;23947;18697;16320;13707;11092;8165;4715;335979
"35021 JAU";28643;25715;24862;24430;22083;18148;14422;11299;10320;8794;7214;5285;3058;204273
"35022 AVARE";14893;13133;12259;11742;10470;8799;6986;5485;4747;3925;3065;2259;1269;99032
"35023 BOTUCATU";16718;14766;13739;13457;12341;10464;8548;6840;5891;5084;4200;3148;1884;117080
"35024 ARARAQUARA";42084;37328;36387;35941;31924;26543;21319;16641;14351;11777;9661;7030;3949;294935
"35025 SAO CARLOS";25951;23616;21948;21634;19574;16014;12865;9844;8674;7107;5948;4273;2548;179996
"35026 RIO CLARO";20625;18219;17211;17225;15376;12426;10449;8298;7129;6045;5281;4112;2282;144678
"35027 LIMEIRA";47576;43187;42448;40564;37017;29678;23328;17574;14712;11813;9583;6874;3550;327904
"35028 PIRACICABA";46782;41548;39451;38781;34487;29288;23677;17854;15081;12324;10408;7668;4218;321567
"35029 PIRASSUNUNGA";15189;13519;13420;13314;11483;9471;8025;6238;5350;4433;3707;2684;1394;108227
"35030 SAO JOAO DA BOA VISTA";35171;30817;30818;30560;28352;23724;19252;15223;13556;11344;9654;7035;3740;259246
"35031 MOJI MIRIM";31365;28388;27932;27047;24360;20136;16242;12444;10162;8134;6518;4753;2522;220003
"35032 CAMPINAS";216598;197587;191477;181324;163658;133423;102235;75341;61724;48471;38540;28219;15159;1453756
"35033 AMPARO";14311;13095;12432;12247;11524;9811;8222;6640;6072;5015;4254;3180;1844;108647
"35034 DRACENA";9074;8237;8305;8117;7611;6452;5574;4851;4511;3713;2969;2224;1207;72845
"35035 ADAMANTINA";13034;11483;11485;11525;10639;9070;7817;6943;6303;5440;4322;3190;1832;103083
"35036 PRESIDENTE PRUDENTE";49476;45068;45618;43293;36863;30474;25410;21024;18108;14568;11391;8437;4638;354368
"35037 TUPA";9712;8497;8558;8219;7638;6191;5387;4564;4166;3364;2761;2086;1208;72351
"35038 MARILIA";29546;26099;24363;23746;21567;17912;14938;11782;10240;8738;7032;5271;3043;204277
"35039 ASSIS";22054;20037;19976;19211;17011;14148;11899;9867;8364;7125;5563;4342;2370;161967
"35040 OURINHOS";23769;21052;20750;20501;18257;15914;13402;10871;9131;7676;5900;4363;2480;174066
"35041 ITAPEVA";20800;18125;17410;16930;14574;12022;9467;7665;6726;5373;4075;2965;1586;137718
"35042 ITAPETININGA";15376;13389;12369;12299;11056;9114;7308;5620;4833;3874;3135;2342;1379;102094
"35043 TATUI";19797;17512;16631;15910;14124;11826;9759;7702;6542;5220;4244;3223;1690;134180
"35044 CAPAO BONITO";12717;11257;10096;9337;7796;6527;5705;4691;3961;3025;2243;1626;814;79795
"35045 PIEDADE";16277;14810;13791;13142;11047;8598;7585;6091;5195;4043;2893;2027;1012;106511
"35046 SOROCABA";108352;96037;92516;89233;78977;63091;49427;36729;30382;24241;19351;14234;7515;710085
"35047 JUNDIAI";51368;46228;44426;42869;39317;31880;24688;18506;15509;12030;9485;7156;3889;347351
"35048 BRAGANCA PAULISTA";39938;35373;32973;32071;28879;23771;19515;14818;12452;10586;8605;6265;3452;268698
"35049 CAMPOS DO JORDAO";6196;5653;5353;4958;4253;3323;2678;2127;1751;1356;1025;763;391;39827
"35050 SAO JOSE DOS CAMPOS";121414;106842;101913;99503;89261;74484;57032;39494;30557;22857;18148;13718;7513;782736
"35051 GUARATINGUETA";34975;30275;29027;29385;26789;21573;17972;13601;10972;9044;6972;5384;2997;238966
"35052 BANANAL";2227;1943;1930;1876;1588;1263;1158;962;900;723;570;485;263;15888
"35053 PARAIBUNA/PARAITINGA";5984;5515;5369;5079;4287;3624;3188;2965;2459;2037;1604;1106;550;43767
"35054 CARAGUATATUBA";22750;20737;18878;16664;14418;11753;9090;6831;5307;4059;2996;2148;1168;136799
"35055 REGISTRO";22708;18480;17199;16087;13941;11881;9831;8668;7207;5603;4273;3103;1714;140695
"35056 ITANHAEM";16433;14318;12778;12263;11377;9849;8262;7156;6132;4793;3752;2631;1286;111030
"35057 OSASCO";167323;150486;140121;124317;108540;86819;65319;43894;32659;23214;16873;11839;5980;977384
"35058 FRANCO DA ROCHA";37649;32794;31013;27892;25016;20397;14910;9893;7080;5240;3865;2844;1379;219972
"35059 GUARULHOS";118324;112368;105733;93256;80185;63455;47568;32755;24871;17489;13052;8927;4497;722480
"35060 ITAPECERICA DA SERRA";84582;75674;70009;61828;54494;43106;32120;21451;15617;10914;7717;5364;2977;485853
"35061 SAO PAULO";1270453;1174554;1097716;1024353;920457;769415;609369;448463;369934;288895;240957;178946;97125;8490637
"35062 MOGI DAS CRUZES";108795;99556;95681;87124;75372;59448;44612;31100;24179;17737;13343;9536;4887;671370
"35063 SANTOS";125552;112783;106694;102613;92955;79049;62870;49327;42297;34227;28079;20843;11083;868372
"Total";3588441;3254448;3093047;2921143;2613996;2159792;1715611;1288450;1069787;842123;680052;500949;273306;24001145
