"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12164;11199;11242;10512;9235;7810;7088;6354;5362;4254;2875;1840;1778;91713
"35002 FERNANDOPOLIS";8191;7725;7874;7298;6341;5311;4671;4076;3397;2796;1914;1203;1149;61946
"35003 VOTUPORANGA";9714;9469;9708;9004;7809;6712;5643;5009;4131;3297;2341;1411;1381;75629
"35004 SAO JOSE DO RIO PRETO";53716;52282;53044;48204;40992;33963;27789;23529;20293;16544;11212;7285;6913;395766
"35005 CATANDUVA";17396;16898;16185;14466;12767;10324;8425;7411;6719;5599;3881;2327;2391;124789
"35006 AURIFLAMA";3901;3583;3652;3245;2788;2474;1970;1794;1574;1231;813;468;483;27976
"35007 NHANDEARA";4598;4551;4657;4396;3820;3385;3041;2671;2317;1859;1325;872;807;38299
"35008 NOVO HORIZONTE";5633;5428;5508;5055;4586;3864;3192;2753;2494;2142;1527;956;829;43967
"35009 BARRETOS";10497;9795;10263;9129;7656;6416;5487;4652;4053;3218;2210;1455;1460;76291
"35010 SAO JOAQUIM DA BARRA";16440;15352;15211;13587;11459;9499;7314;6119;4968;3930;2733;1689;1565;109866
"35011 ITUVERAVA";7463;6902;6961;6531;5470;4580;3746;3284;2781;2118;1475;964;954;53229
"35012 FRANCA";30037;29000;27906;24778;20875;16887;12944;10579;8625;6617;4315;2796;2641;198000
"35013 JABOTICABAL";32974;31412;30720;27187;23135;18919;15284;12849;11293;9331;6579;4101;4005;227789
"35014 RIBEIRAO PRETO";69779;65320;65980;60877;52130;41536;32641;26612;22541;18376;12454;7741;7709;483696
"35015 BATATAIS";7482;7053;7234;6750;6017;4878;3904;3312;2969;2475;1646;1075;1037;55832
"35016 ANDRADINA";15578;14108;13903;12340;10630;9401;7874;6556;5450;4316;3052;1987;1986;107181
"35017 ARACATUBA";19959;18847;19458;17244;14674;11954;10019;8471;7164;5754;4095;2541;2570;142750
"35018 BIRIGUI";19422;18147;17921;15933;13817;11314;9510;7929;6987;5541;3917;2442;2362;135242
"35019 LINS";11712;10575;10773;9919;8778;7312;5954;5317;4713;4026;2848;1819;1770;85516
"35020 BAURU";43707;39432;39562;35993;31233;24523;19672;16486;14860;12213;8485;5328;5134;296628
"35021 JAU";26084;23981;24480;22172;18798;14828;11752;10187;9564;8196;5423;3554;3518;182537
"35022 AVARE";12344;11281;11170;10160;8779;6880;5390;4701;4093;3423;2314;1495;1367;83397
"35023 BOTUCATU";14927;13360;13214;12129;10560;8643;6947;5835;5559;4544;3209;2146;2128;103201
"35024 ARARAQUARA";37329;34781;35504;31968;27450;21675;17194;14371;12805;10569;7303;4525;4278;259752
"35025 SAO CARLOS";22589;20851;21122;19084;16492;12828;10313;8775;7670;6444;4436;2895;2845;156344
"35026 RIO CLARO";17303;15899;16316;14929;12544;10477;8635;7081;6453;5733;4174;2672;2684;124900
"35027 LIMEIRA";42952;40749;40632;36801;31219;24109;18673;14991;12933;10575;7154;4153;3724;288665
"35028 PIRACICABA";40812;37338;38143;34378;29778;23879;18703;15257;13208;11195;7770;4974;4598;280033
"35029 PIRASSUNUNGA";14141;13100;13347;11765;9838;8118;6599;5480;4788;4077;2891;1754;1556;97454
"35030 SAO JOAO DA BOA VISTA";31650;29784;30368;28573;24820;19824;15902;13720;12503;10718;7357;4779;4293;234291
"35031 MOJI MIRIM";27358;26187;26297;24014;20504;16324;12694;10153;8784;7202;4857;2872;2812;190058
"35032 CAMPINAS";185945;178995;175878;160692;137089;105115;79203;62938;52451;42075;28572;17249;16175;1242377
"35033 AMPARO";12744;11572;11645;11100;10027;8123;6618;5961;5258;4565;3319;2155;2128;95215
"35034 DRACENA";8617;7954;8071;7673;6718;5515;4967;4592;4008;3388;2296;1484;1329;66612
"35035 ADAMANTINA";12242;11223;11550;10723;9491;8072;7085;6399;5936;4882;3392;2258;2059;95312
"35036 PRESIDENTE PRUDENTE";46590;44432;43732;37312;31724;26074;21875;18395;15999;12687;8732;5408;5171;318131
"35037 TUPA";9011;8232;8202;7590;6409;5405;4764;4194;3633;3043;2168;1355;1374;65380
"35038 MARILIA";25809;22912;22736;21210;18454;14929;12149;10173;9285;7827;5425;3364;3211;177484
"35039 ASSIS";20941;19868;19659;17463;14947;12083;10218;8704;7742;6241;4435;2870;2680;147851
"35040 OURINHOS";21448;19631;20192;18084;16222;13560;11102;9455;8259;6743;4550;2981;2860;155087
"35041 ITAPEVA";19197;17444;17390;15191;12671;9911;8143;6847;6262;4738;3214;2073;1742;124823
"35042 ITAPETININGA";12836;11533;11640;10669;9173;7185;5789;4747;4240;3438;2384;1635;1391;86660
"35043 TATUI";16485;15107;15062;13482;11770;9546;7912;6523;5806;4621;3374;2145;1818;113651
"35044 CAPAO BONITO";12422;10333;9297;8199;7033;6026;4984;4098;3468;2591;1792;1128;897;72268
"35045 PIEDADE";14104;12841;12056;10487;8503;6978;5916;4880;4230;3220;2145;1193;1082;87635
"35046 SOROCABA";90477;84236;84848;76639;63949;49395;38337;30046;26139;20857;14461;8727;7814;595925
"35047 JUNDIAI";42159;39762;39583;37358;32140;24912;18859;15479;12767;10280;7076;4304;3940;288619
"35048 BRAGANCA PAULISTA";33191;30181;28970;27369;23360;18979;14972;12297;10728;9082;6272;3826;3533;222760
"35049 CAMPOS DO JORDAO";5311;4727;4435;3876;3207;2464;2121;1651;1425;1111;835;453;377;31993
"35050 SAO JOSE DOS CAMPOS";101445;95444;96327;88197;77632;59390;43336;31415;25199;19801;13756;8464;7833;668239
"35051 GUARATINGUETA";31827;28869;29965;26655;22908;18384;14997;11510;10021;7921;5737;3573;3365;215732
"35052 BANANAL";1996;1819;1897;1647;1329;1129;970;896;789;688;470;279;319;14228
"35053 PARAIBUNA/PARAITINGA";5652;5226;4988;4122;3672;3049;2849;2484;2177;1781;1202;694;596;38492
"35054 CARAGUATATUBA";17539;16196;14954;12811;10968;8151;6410;4902;4040;3107;1949;1202;1090;103319
"35055 REGISTRO";19206;16181;15611;13906;12064;9777;8736;7095;5847;4687;3164;1993;1765;120032
"35056 ITANHAEM";12990;11294;10460;9785;8763;7083;6293;5081;4400;3619;2471;1387;1209;84835
"35057 OSASCO";146973;137953;127859;111604;93636;69671;49998;34752;26900;19306;12365;7021;5906;843944
"35058 FRANCO DA ROCHA";29525;26851;26103;23787;20578;14820;10376;7114;5593;4175;2812;1607;1298;174639
"35059 GUARULHOS";107091;102508;95099;82484;68987;51108;37331;26420;20259;14911;9475;5385;4622;625680
"35060 ITAPECERICA DA SERRA";73032;66262;60955;54617;45672;33922;23415;16305;12114;8707;5358;3060;2694;406113
"35061 SAO PAULO";1159290;1104322;1063759;962517;834481;660630;505323;396534;330019;269582;187861;111392;106262;7691972
"35062 MOGI DAS CRUZES";93618;87279;82394;73641;60912;45523;33471;24695;19480;14794;9663;5589;4908;555967
"35063 SANTOS";107773;99958;99056;91873;81225;64602;52022;42604;36932;30815;21205;12523;11812;752400
"Total";3185338;2995534;2922728;2641184;2270708;1790158;1389511;1105500;932457;753596;518515;314896;295987;21116112
