"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12419;9863;8857;8075;7601;6229;5211;3992;3178;2567;1756;1155;772;71675
"35002 FERNANDOPOLIS";8501;7016;6154;5510;5112;4084;3427;2549;2101;1681;1101;719;529;48484
"35003 VOTUPORANGA";10043;8003;7078;6321;5842;4682;4081;3148;2492;1992;1369;863;598;56512
"35004 SAO JOSE DO RIO PRETO";42517;34569;29718;25588;23816;20905;18401;13837;11140;8823;6009;3961;2965;242249
"35005 CATANDUVA";14106;11842;9649;8253;7980;7110;6520;4945;3988;3338;2214;1381;1068;82394
"35006 AURIFLAMA";3857;3092;2661;2362;2214;1818;1516;1102;866;724;496;278;235;21221
"35007 NHANDEARA";5217;4252;3732;3368;3186;2645;2224;1711;1486;1187;821;560;400;30789
"35008 NOVO HORIZONTE";6454;5301;4283;3648;3457;3024;2738;2135;1614;1290;871;537;396;35748
"35009 BARRETOS";8814;7000;6002;5282;4999;4409;3865;2968;2494;1928;1441;823;675;50700
"35010 SAO JOAQUIM DA BARRA";14136;11596;10023;8074;7267;6055;5117;3903;3164;2431;1598;1003;682;75049
"35011 ITUVERAVA";6912;5449;4783;4185;3902;3273;2733;2071;1767;1457;885;606;445;38468
"35012 FRANCA";21878;17983;14971;11925;10988;9013;7599;5756;4545;3518;2319;1490;1058;113043
"35013 JABOTICABAL";26008;21803;18308;15159;13991;11806;11031;8605;6952;5539;3772;2493;1876;147343
"35014 RIBEIRAO PRETO";56760;48877;39825;32503;29356;25097;22119;16885;13185;10631;7039;4456;3217;309950
"35015 BATATAIS";7402;6229;5138;4241;3974;3442;3011;2380;1933;1461;1000;726;502;41439
"35016 ANDRADINA";14013;11643;10302;8950;7942;6419;5416;4318;3474;2782;1855;1143;862;79119
"35017 ARACATUBA";17071;14068;11974;10403;9755;7864;6882;5535;4343;3565;2354;1499;1171;96484
"35018 BIRIGUI";16581;13183;11042;9514;8767;7560;6606;5071;4078;3133;2163;1425;1036;90159
"35019 LINS";11561;8968;7469;6341;6203;5702;5225;4053;3405;2618;1798;1152;916;65411
"35020 BAURU";34503;29021;23427;19504;18720;16475;14836;11589;9312;7424;4736;3191;2384;195122
"35021 JAU";21396;17622;14070;11575;11131;10155;9275;7175;5894;4776;3229;2121;1663;120082
"35022 AVARE";9735;8161;6711;5681;5193;4534;3950;3155;2603;2107;1379;884;676;54769
"35023 BOTUCATU";11206;9174;7793;6405;6160;5642;5150;4123;3460;2793;1983;1245;935;66069
"35024 ARARAQUARA";29126;24959;20089;16661;15386;13701;12188;9579;7589;6122;4232;2776;2080;164488
"35025 SAO CARLOS";17754;14841;11932;9814;9205;7956;7373;5809;4796;3827;2650;1805;1320;99082
"35026 RIO CLARO";13621;11301;9900;8385;7686;6860;6654;5352;4483;3599;2406;1594;1273;83114
"35027 LIMEIRA";33535;27849;22884;18153;16092;13882;12540;9355;7243;5546;3569;2252;1636;174536
"35028 PIRACICABA";31956;27681;23094;18333;16696;14305;13145;10123;8462;6387;4408;2774;2130;179494
"35029 PIRASSUNUNGA";10923;8987;7922;6397;5885;5093;4735;3667;2903;2213;1466;927;702;61820
"35030 SAO JOAO DA BOA VISTA";29629;24177;19882;16627;15812;13906;12977;10054;8311;6615;4444;3017;2033;167484
"35031 MOJI MIRIM";21238;17983;14793;11938;10679;8989;8041;6176;4903;3903;2622;1622;1146;114033
"35032 CAMPINAS";136765;120457;96665;76103;66272;55339;48388;36286;27615;21365;13778;8692;6243;713968
"35033 AMPARO";10698;9328;7916;6465;6152;5316;5216;4287;3532;3007;2038;1281;1012;66248
"35034 DRACENA";10195;7652;6560;5909;5707;4959;4317;3184;2411;1993;1377;933;638;55835
"35035 ADAMANTINA";15335;11490;10004;9179;8764;7773;6773;5010;4086;3193;2118;1379;1063;86167
"35036 PRESIDENTE PRUDENTE";39184;31383;26761;23566;21721;18683;15734;12015;9183;7337;4814;3126;2343;215850
"35037 TUPA";9077;7130;5988;5429;5015;4358;3800;3068;2430;1930;1280;896;709;51110
"35038 MARILIA";22988;18216;15285;12825;11842;10822;9590;7474;6065;4685;3163;2088;1503;126546
"35039 ASSIS";16339;13396;11798;10471;9568;8418;7469;5978;4838;3868;2614;1657;1320;97734
"35040 OURINHOS";18303;15622;13484;11767;10785;9501;8252;6384;5263;4340;2946;1841;1443;109931
"35041 ITAPEVA";17021;13998;11454;10031;8999;7641;6522;5183;4164;3264;2041;1248;870;92436
"35042 ITAPETININGA";10666;8667;7116;5938;5468;4838;4186;3554;2938;2297;1496;923;711;58798
"35043 TATUI";11116;9439;7927;6764;6325;5485;5143;4203;3455;2700;1821;1121;841;66340
"35044 CAPAO BONITO";9827;8093;6938;6149;5393;4315;3700;2991;2426;1827;1104;625;417;53805
"35045 PIEDADE";9809;7873;6718;5842;5247;4457;3810;3116;2440;1920;1161;674;498;53565
"35046 SOROCABA";63709;54349;44317;35657;31797;27565;24577;19405;15053;11537;7744;4773;3392;343875
"35047 JUNDIAI";36711;31991;25884;20827;18293;15370;13277;10200;7951;6053;3984;2451;1763;194755
"35048 BRAGANCA PAULISTA";23385;19683;16707;14030;12625;10839;10064;7884;6623;5095;3538;2159;1665;134297
"35049 CAMPOS DO JORDAO";4340;3382;2821;2364;2175;1684;1576;1259;974;704;454;262;197;22192
"35050 SAO JOSE DOS CAMPOS";79026;71799;58049;44020;35850;27907;23919;18377;14524;10592;6914;4417;3511;398905
"35051 GUARATINGUETA";28778;23241;19439;16025;13924;11836;10614;8399;6976;5290;3391;2206;1750;151869
"35052 BANANAL";1995;1446;1270;1133;1121;928;873;707;604;485;336;227;186;11311
"35053 PARAIBUNA/PARAITINGA";5159;4066;3538;3338;2938;2689;2395;1894;1620;1241;803;498;350;30529
"35054 CARAGUATATUBA";8828;7899;6530;5315;4323;3408;2923;2380;1962;1534;970;566;462;47100
"35055 REGISTRO";14298;12376;10318;9434;8339;6665;5802;4509;3572;2817;1733;1079;827;81769
"35056 ITANHAEM";6364;5606;4764;4309;3584;2942;2902;2349;1951;1564;995;539;360;38229
"35057 OSASCO";98574;89262;71142;53563;43171;32030;26230;18708;13312;9496;5610;3188;2171;466457
"35058 FRANCO DA ROCHA";13427;12895;11143;8765;7077;5556;4750;3767;2927;2060;1225;757;486;74835
"35059 GUARULHOS";63768;58843;48828;37680;30891;22636;18689;13278;9549;6826;3958;2399;1707;319052
"35060 ITAPECERICA DA SERRA";36753;35050;29333;22929;17626;12688;9997;7117;5311;3685;2233;1274;971;184967
"35061 SAO PAULO";1163165;1058490;848908;656048;568117;464929;418583;310888;230909;173153;112984;70088;53168;6129430
"35062 MOGI DAS CRUZES";54249;47715;39775;31790;27157;21154;17776;13166;10035;7392;4730;2812;1944;279695
