"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";11691;11377;11428;10891;11239;11005;10199;8862;7632;6239;5108;3387;3454;112512
"35002 FERNANDOPOLIS";8454;8429;8050;7776;7889;7750;7241;5983;4994;4073;3306;2288;2446;78679
"35003 VOTUPORANGA";12234;12145;11394;10410;10492;10110;9338;7651;6597;5144;4017;2664;2839;105035
"35004 SAO JOSE DO RIO PRETO";67203;68899;65568;58806;57462;55176;49129;40120;32848;24942;20257;14309;15463;570182
"35005 CATANDUVA";19813;20358;18237;16745;16453;15228;13511;11470;9188;7066;6083;4501;4677;163330
"35006 AURIFLAMA";4078;3875;3551;3365;3485;3324;2982;2539;2201;1703;1400;957;937;34397
"35007 NHANDEARA";5620;5625;5125;4808;4944;4738;4304;3739;3129;2635;2175;1524;1571;49937
"35008 NOVO HORIZONTE";6839;6691;6179;5808;5812;5528;5147;4479;3663;2858;2302;1674;1795;58775
"35009 BARRETOS";12176;12117;11135;10084;9683;9683;8395;6946;5663;4443;3518;2403;2624;98870
"35010 SAO JOAQUIM DA BARRA";19358;19974;17893;15920;15270;14220;12486;10110;8329;5868;4531;3083;3147;150189
"35011 ITUVERAVA";8369;8697;7898;6810;6544;6445;5819;4818;4001;3042;2465;1640;1771;68319
"35012 FRANCA";35117;33258;30989;28979;28261;26570;23109;18689;14868;10575;8068;5576;5734;269793
"35013 JABOTICABAL";36707;36853;33231;30175;29549;27553;24748;20303;16463;12496;10236;7355;8268;293937
"35014 RIBEIRAO PRETO";98248;101292;90783;77916;72713;69472;61403;50117;38940;28274;22275;15946;17924;745303
"35015 BATATAIS";9185;9105;8467;7379;7426;7161;6579;5616;4497;3389;2728;2048;2260;75840
"35016 ANDRADINA";14792;14500;15050;14542;13821;13235;11370;9754;8298;6544;5072;3378;3670;134026
"35017 ARACATUBA";21834;23374;22172;20380;19891;19038;16380;13541;10781;8240;6797;4585;5026;192039
"35018 BIRIGUI";22201;22451;21058;20232;19402;18211;16038;13415;10842;8535;6569;4633;4943;188530
"35019 LINS";13713;13968;13048;11889;11474;10893;9865;8228;6703;5156;4277;3129;3283;115626
"35020 BAURU";51000;51947;47932;42318;40080;38335;34352;28648;22173;16700;13356;9914;10898;407653
"35021 JAU";30054;30953;28851;26146;24896;24202;21437;17376;13443;9932;8303;6321;6828;248742
"35022 AVARE";15704;15519;15113;13555;12357;11752;10392;8671;6670;4942;3910;2761;2967;124313
"35023 BOTUCATU";17694;18019;17354;15488;14387;13752;12473;10606;8392;6388;5058;3793;4244;147648
"35024 ARARAQUARA";46185;46213;42975;38158;36980;35396;30953;25507;20035;14678;11777;8605;9469;366931
"35025 SAO CARLOS";27712;28901;26527;23896;22232;21693;19124;15653;12138;8874;7332;5405;6054;225541
"35026 RIO CLARO";21829;22558;21135;18563;17333;16739;14795;11919;9677;7294;5810;4401;5276;177329
"35027 LIMEIRA";53489;54185;49117;44377;42371;40050;35593;28479;21684;15721;12049;8624;9373;415112
"35028 PIRACICABA";49750;52212;47671;42325;39519;37987;33246;27932;22217;15923;12436;9224;10313;400755
"35029 PIRASSUNUNGA";16379;16831;15021;13371;13031;12715;11218;8948;7516;5430;4413;3138;3554;131565
"35030 SAO JOAO DA BOA VISTA";34767;34603;32135;29773;29726;29087;26780;22373;17851;13313;10834;7993;9002;298237
"35031 MOJI MIRIM";34363;35200;32006;29218;28487;26855;23736;19458;15157;11045;8404;5882;6247;276058
"35032 CAMPINAS";242306;254261;237070;210979;199543;182773;161548;128742;96454;68375;52678;36789;40279;1911797
"35033 AMPARO";14678;15267;14271;13577;12851;12490;11648;10072;8306;6296;5229;3862;4434;132981
"35034 DRACENA";9625;9712;9288;8734;8544;8160;7532;6392;5309;4323;3619;2625;2728;86591
"35035 ADAMANTINA";14576;13839;12608;11527;11390;11149;10112;8549;7341;6011;5094;3723;3899;119818
"35036 PRESIDENTE PRUDENTE";48354;46886;45795;43334;44314;41298;35159;28885;23784;18768;14926;10371;11181;413055
"35037 TUPA";8957;8944;8517;8100;8148;7786;7036;5813;4950;4078;3394;2431;2684;80838
"35038 MARILIA";28419;28484;27517;25045;23959;22809;20824;17445;14088;10728;8591;6342;7154;241405
"35039 ASSIS";22897;22050;21168;19729;19467;18643;16330;13627;11077;8681;6652;5042;5235;190598
"35040 OURINHOS";24090;23737;22218;21027;20461;19985;17546;15282;12494;9700;7320;5360;5592;204812
"35041 ITAPEVA";19971;19716;18574;17202;16252;15568;13308;10977;8675;6527;5126;3547;3537;158980
"35042 ITAPETININGA";17467;17810;16255;14084;12890;12241;11036;8893;7015;4985;3971;2769;3024;132440
"35043 TATUI";23284;23532;22100;19488;17955;16704;14759;12408;10041;7436;5627;3873;4159;181366
"35044 CAPAO BONITO";10640;10517;10333;9860;8898;8178;7003;5875;5039;3905;3004;2037;1892;87181
"35045 PIEDADE";15937;16011;15049;14071;13032;12134;10414;8603;7364;5713;4123;2734;2607;127792
"35046 SOROCABA";120014;123179;115143;103005;96539;90749;78614;62201;47688;33595;25623;17836;19346;933532
"35047 JUNDIAI";57655;61180;56729;50141;47085;43533;38731;30733;23158;16655;12997;9138;9942;457677
"35048 BRAGANCA PAULISTA";43718;44495;42652;38833;35813;33801;29946;24381;19824;14771;11242;8063;8909;356448
"35049 CAMPOS DO JORDAO";5772;5689;5689;5417;5194;4757;4035;3071;2449;1801;1356;900;946;47076
"35050 SAO JOSE DOS CAMPOS";125746;132953;125423;110386;103203;97098;86173;70792;52966;35872;25568;17126;19061;1002367
"35051 GUARATINGUETA";35368;35641;33024;29822;28578;28221;25212;20387;16261;11790;8681;6172;6802;285959
"35052 BANANAL";2103;2009;1990;1876;1834;1765;1517;1222;1071;849;678;499;576;17989
"35053 PARAIBUNA/PARAITINGA";5454;5303;5162;5161;5158;4827;4217;3572;3034;2638;1963;1277;1333;49099
"35054 CARAGUATATUBA";24450;25591;25521;22747;20318;17620;15196;12656;9556;6862;4790;3235;3225;191767
