"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";9807;11083;11815;11745;11383;11131;11362;10728;9340;7542;5891;4382;5280;121489
"35002 FERNANDOPOLIS";7162;8035;8745;8632;8078;7892;7942;7466;6414;5097;3977;2944;3714;86098
"35003 VOTUPORANGA";10360;11738;13031;12428;11299;10613;10514;9855;8402;6506;4998;3548;4231;117523
"35004 SAO JOSE DO RIO PRETO";59149;66122;72723;70742;64123;58669;56926;52252;43854;34338;25736;18242;23425;646301
"35005 CATANDUVA";17474;19314;20841;19826;17501;16257;15634;14074;11969;9500;7037;5147;6982;181556
"35006 AURIFLAMA";3291;3825;4102;3809;3460;3410;3427;3140;2673;2141;1650;1187;1445;37560
"35007 NHANDEARA";4634;5513;6170;5801;5112;4883;4887;4472;3839;3095;2415;1841;2330;54992
"35008 NOVO HORIZONTE";5902;6671;7235;6799;6168;5879;5773;5381;4728;3754;2800;2010;2612;65712
"35009 BARRETOS";10351;11798;12682;12003;10698;9784;9494;8796;7257;5595;4177;3001;3713;109349
"35010 SAO JOAQUIM DA BARRA";17591;18772;20063;19301;16938;15340;14500;12878;10560;8156;5946;3947;4707;168699
"35011 ITUVERAVA";7560;8009;8562;8337;7301;6510;6346;5930;4991;3908;2943;2092;2569;75058
"35012 FRANCA";32711;34362;34999;32614;29768;27908;26824;24205;19955;15403;11102;7359;8802;306012
"35013 JABOTICABAL";32210;34847;36817;34958;31118;28974;27946;25394;21527;16859;12544;8930;11861;323985
"35014 RIBEIRAO PRETO";90177;98766;107526;101867;87212;75749;70934;64649;54070;41828;29973;20442;26473;869666
"35015 BATATAIS";8600;9214;9479;9113;8043;7299;7238;6809;5944;4740;3492;2457;3295;85723
"35016 ANDRADINA";13113;14420;15020;14955;14874;14157;13494;12156;10070;8164;6315;4502;5366;146606
"35017 ARACATUBA";19403;21724;24764;24284;21733;20019;19318;17397;14280;11064;8120;5817;7336;215259
"35018 BIRIGUI";20334;22355;23787;22966;21154;20048;19060;17199;14434;11280;8416;5986;7365;214384
"35019 LINS";12696;13650;14502;14163;12764;11671;11149;10194;8610;6708;4997;3604;4744;129452
"35020 BAURU";44637;48673;53650;51223;45270;40543;38598;35656;30392;23494;16871;11846;15725;456578
"35021 JAU";28055;30014;31840;31014;27964;25411;24260;22336;18501;13975;9957;7036;9700;280063
