"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12386;10577;9618;8604;7796;6643;5777;4677;3767;2913;2001;1319;1025;77103
"35002 FERNANDOPOLIS";8568;7462;6755;5951;5302;4409;3759;2972;2509;1920;1296;878;662;52443
"35003 VOTUPORANGA";10065;8779;7876;6949;6311;5180;4572;3610;2964;2302;1566;1025;784;61983
"35004 SAO JOSE DO RIO PRETO";45613;41181;36484;31184;27624;23518;20622;16680;13913;10494;7204;4802;3932;283251
"35005 CATANDUVA";15031;13365;11480;9944;8923;7580;6957;5761;4863;3840;2587;1683;1396;93410
"35006 AURIFLAMA";3920;3455;2952;2606;2393;1921;1678;1326;1060;834;546;348;303;23342
"35007 NHANDEARA";5131;4499;4067;3599;3323;2809;2467;1971;1713;1309;923;626;512;32949
"35008 NOVO HORIZONTE";6160;5436;4665;4081;3669;3100;2788;2329;1905;1497;1012;659;525;37826
"35009 BARRETOS";9412;8381;7389;6364;5647;4871;4262;3484;2968;2213;1639;1027;861;58518
"35010 SAO JOAQUIM DA BARRA";14750;13047;11509;9489;8325;6716;5660;4504;3722;2794;1857;1204;906;84483
"35011 ITUVERAVA";6968;5962;5494;4672;4261;3509;3052;2406;2017;1590;1036;692;577;42236
"35012 FRANCA";24523;21663;18731;15347;13409;10543;8946;7036;5648;4125;2785;1811;1456;136023
"35013 JABOTICABAL";28698;25536;22190;18599;16271;13313;12022;9903;8343;6480;4397;2981;2420;171153
"35014 RIBEIRAO PRETO";60013;55974;48778;40993;34998;28483;24778;19822;16414;12442;8286;5530;4421;360932
"35015 BATATAIS";7417;6664;5852;4963;4418;3670;3209;2666;2283;1729;1172;818;632;45493
"35016 ANDRADINA";14634;12701;11330;9871;8722;7176;6035;4911;3989;3118;2127;1415;1135;87164
"35017 ARACATUBA";18039;16294;14258;12216;10835;8791;7719;6333;5167;4072;2744;1818;1531;109817
"35018 BIRIGUI";17471;15004;12940;11195;9859;8374;7247;5915;4846;3721;2539;1691;1373;102175
