"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12344;11429;10525;9237;8023;7135;6450;5492;4464;3319;2287;1517;1327;83549
"35002 FERNANDOPOLIS";8648;7995;7468;6476;5528;4800;4154;3476;2994;2203;1522;1069;824;57157
"35003 VOTUPORANGA";10091;9702;8824;7695;6866;5775;5154;4162;3525;2670;1797;1212;1006;68479
"35004 SAO JOSE DO RIO PRETO";49285;49032;44524;37835;32147;26625;23268;20063;17214;12485;8626;5809;5087;332000
"35005 CATANDUVA";16127;15174;13654;11951;10044;8137;7478;6729;5903;4434;3027;2043;1781;106482
"35006 AURIFLAMA";3992;3888;3300;2899;2608;2042;1868;1600;1290;969;605;430;382;25873
"35007 NHANDEARA";5027;4795;4466;3874;3489;3001;2759;2281;1980;1455;1040;702;649;35518
"35008 NOVO HORIZONTE";5811;5596;5120;4596;3922;3189;2849;2562;2251;1740;1183;802;676;40297
"35009 BARRETOS";10121;10021;9036;7652;6418;5420;4734;4097;3532;2551;1873;1269;1083;67807
"35010 SAO JOAQUIM DA BARRA";15480;14768;13276;11168;9581;7502;6311;5214;4384;3226;2165;1440;1175;95690
"35011 ITUVERAVA";7033;6570;6337;5249;4686;3790;3430;2803;2312;1748;1215;793;732;46698
"35012 FRANCA";27662;26035;23200;19412;16283;12363;10546;8556;6960;4847;3335;2191;1931;163321
"35013 JABOTICABAL";31891;29972;26801;22682;18978;15106;13199;11444;9998;7594;5139;3556;3063;199423
"35014 RIBEIRAO PRETO";63872;64402;59409;51077;41699;32504;27936;23312;20246;14597;9768;6809;5850;421481
"35015 BATATAIS";7438;7182;6699;5820;4947;3942;3444;3006;2698;2044;1379;925;788;50312
"35016 ANDRADINA";15370;13959;12553;10964;9650;8073;6769;5616;4605;3516;2457;1740;1462;96734
"35017 ARACATUBA";19187;18938;16969;14366;12118;9894;8715;7278;6145;4677;3207;2195;1956;125645
"35018 BIRIGUI";18528;17169;15195;13190;11153;9343;8009;6916;5755;4419;2988;2005;1768;116438
"35019 LINS";11484;10775;9790;8535;7291;6063;5461;4983;4433;3355;2345;1581;1390;77486
"35020 BAURU";38829;37981;34693;29815;24214;19482;16844;15172;13177;9855;6675;4580;3852;255169
"35021 JAU";23587;23217;20934;17787;14495;11466;10454;9478;8613;6247;4313;3052;2636;156279
"35022 AVARE";11084;10645;9705;8586;7008;5411;4754;4323;3619;2745;1862;1260;1036;72038
"35023 BOTUCATU";12980;12180;11368;9695;8412;6640;5901;5550;4716;3682;2604;1861;1581;87170
"35024 ARARAQUARA";34380;34233;30563;26262;21336;16896;14756;12910;11310;8424;5674;3848;3443;224035
