"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"35001 JALES";12914;11323;11237;11230;10675;9274;8110;7028;6250;4999;3811;2902;1696;101449
"35002 FERNANDOPOLIS";9061;7947;7782;7891;7553;6332;5409;4696;4112;3245;2484;1917;1133;69562
"35003 VOTUPORANGA";11576;10215;10203;10124;9517;8114;7009;5767;4991;3901;3031;2437;1361;88246
"35004 SAO JOSE DO RIO PRETO";63471;57362;55826;55437;50844;42546;35444;28337;24242;19569;15442;11993;7086;467599
"35005 CATANDUVA";18556;16868;16584;15864;14473;12493;10230;8217;7379;6173;5062;3957;2218;138074
"35006 AURIFLAMA";3962;3488;3514;3504;3170;2708;2409;1960;1744;1408;1077;805;446;30195
"35007 NHANDEARA";5069;4535;4674;4719;4465;3900;3393;3004;2688;2196;1735;1332;774;42484
"35008 NOVO HORIZONTE";6351;5681;5642;5588;5266;4700;3945;3202;2802;2362;1963;1551;822;49875
"35009 BARRETOS";11705;10196;9815;9996;9043;7615;6417;5243;4496;3634;2839;2229;1341;84569
"35010 SAO JOAQUIM DA BARRA";18533;16604;15763;14971;13503;11172;9443;7226;5905;4584;3465;2731;1569;125469
"35011 ITUVERAVA";8653;7315;6898;6831;6361;5354;4509;3678;3167;2494;1849;1465;897;59471
"35012 FRANCA";33036;30119;28980;27985;25259;20800;16974;12639;10323;7991;5920;4495;2624;227145
"35013 JABOTICABAL";36111;32183;31097;29755;27005;22568;18657;14756;12750;10400;8433;6778;3823;254316
"35014 RIBEIRAO PRETO";85491;75511;70846;69198;63651;53298;42964;32617;26928;21741;17131;13439;7867;580682
"35015 BATATAIS";9093;7679;7330;7369;6981;6061;5014;3856;3359;2795;2228;1790;1069;64624
"35016 ANDRADINA";16047;14979;14227;13729;12198;10498;9168;7647;6445;4990;3894;3067;1858;118747
"35017 ARACATUBA";21723;19860;19436;19382;17440;14590;12046;9633;8424;6634;5113;4221;2496;160998
"35018 BIRIGUI";21229;19674;18888;18295;16670;14074;11778;9551;8045;6513;5024;4020;2291;156052
"35019 LINS";13769;12020;11244;11080;10346;8915;7412;6025;5376;4451;3598;2860;1720;98816
"35020 BAURU";49883;44141;41205;40116;36831;31339;25102;19384;16526;13888;11106;8766;5162;343449
"35021 JAU";29409;26294;25001;24621;22620;18893;15121;11701;10341;8873;7197;5669;3338;209078
"35022 AVARE";15255;13485;12427;11900;10769;9137;7343;5694;4820;3986;3090;2419;1394;101719
"35023 BOTUCATU";17175;15214;13991;13630;12657;10881;8963;7098;6018;5143;4202;3379;2060;120411
"35024 ARARAQUARA";43132;38317;36569;36206;32820;27566;22307;17265;14568;12010;9655;7576;4356;302347
"35025 SAO CARLOS";26517;24090;22266;21820;20071;16715;13478;10279;8787;7277;5942;4634;2793;184669
"35026 RIO CLARO";21010;18722;17399;17290;15771;12979;10808;8563;7242;6115;5207;4365;2522;147993
"35027 LIMEIRA";49092;44145;42561;41116;37826;31066;24518;18389;15036;12106;9605;7432;3982;336874
"35028 PIRACICABA";48034;42627;39828;39072;35429;30247;24725;18684;15388;12602;10357;8255;4681;329929
"35029 PIRASSUNUNGA";15621;13807;13378;13340;11860;9840;8279;6467;5429;4502;3681;2887;1556;110647
"35030 SAO JOAO DA BOA VISTA";35826;31379;30594;30579;28739;24501;20034;15705;13623;11464;9533;7537;4139;263653
"35031 MOJI MIRIM";32377;29033;28048;27388;24995;20958;16982;12969;10455;8339;6545;5112;2805;226006
"35032 CAMPINAS";221945;203078;193591;184981;168272;139535;108436;79530;63704;50242;39031;30549;17001;1499895
"35033 AMPARO";14661;13337;12577;12372;11744;10190;8580;6887;6123;5132;4242;3420;2032;111297
"35034 DRACENA";9390;8434;8303;8205;7747;6685;5744;4913;4501;3767;2967;2368;1327;74351
"35035 ADAMANTINA";13325;11755;11450;11542;10820;9342;8035;6987;6313;5454;4320;3400;1987;104730
"35036 PRESIDENTE PRUDENTE";50106;45535;45197;43746;38104;31589;26302;21505;18391;14894;11478;9032;5108;360987
"35037 TUPA";9822;8620;8465;8263;7721;6421;5510;4632;4172;3429;2748;2219;1318;73340
"35038 MARILIA";29718;26556;24549;23888;22007;18594;15494;12205;10394;8832;7057;5640;3332;208266
"35039 ASSIS";22444;20325;19883;19382;17454;14662;12300;10073;8496;7168;5588;4585;2605;164965
"35040 OURINHOS";24388;21465;20731;20594;18729;16332;13855;11172;9308;7746;5952;4658;2706;177636
"35041 ITAPEVA";21337;18443;17394;16961;14966;12413;9900;7848;6759;5450;4093;3159;1734;140457
"35042 ITAPETININGA";15957;13858;12624;12412;11377;9522;7678;5870;4917;3969;3140;2506;1502;105332
"35043 TATUI";20576;18209;16976;16282;14669;12407;10277;8076;6726;5378;4267;3450;1893;139186
"35044 CAPAO BONITO";12957;11307;10147;9394;8025;6704;5808;4766;4000;3102;2268;1733;902;81113
"35045 PIEDADE";16741;14963;13875;13234;11430;9067;7796;6308;5290;4145;2959;2184;1129;109121
"35046 SOROCABA";111700;99196;93667;90704;81604;66401;52245;38748;31267;24943;19508;15338;8419;733740
"35047 JUNDIAI";53033;47727;45079;43615;40296;33372;26094;19426;15893;12489;9613;7690;4347;358674
"35048 BRAGANCA PAULISTA";41151;36612;33755;32691;29872;24970;20517;15691;12888;10798;8686;6799;3858;278288
"35049 CAMPOS DO JORDAO";6236;5711;5378;5040;4391;3489;2789;2186;1785;1388;1033;810;433;40669
"35050 SAO JOSE DOS CAMPOS";124409;109990;102910;100406;91493;77209;60276;42248;31872;23884;18325;14711;8362;806095
"35051 GUARATINGUETA";35691;31006;29136;29344;27276;22480;18569;14148;11257;9150;7017;5690;3281;244045
"35052 BANANAL";2265;1979;1920;1883;1644;1324;1175;982;895;735;571;502;289;16164
"35053 PARAIBUNA/PARAITINGA";6102;5534;5353;5132;4450;3755;3274;2961;2517;2050;1597;1190;610;44525
"35054 CARAGUATATUBA";23405;21406;19435;17365;15074;12435;9757;7278;5603;4260;3105;2350;1318;142791
"35055 REGISTRO";22988;18993;17259;16240;14325;12237;10214;8751;7370;5763;4322;3328;1884;143674
"35056 ITANHAEM";16898;14776;13168;12539;11752;10378;8842;7489;6386;5001;3831;2886;1479;115425
"35057 OSASCO";169392;152836;140905;126936;111013;90023;68562;46657;33944;24309;17212;12786;6684;1001259
"35058 FRANCO DA ROCHA";38999;34055;31558;28799;25777;21336;15985;10705;7507;5445;3938;3046;1556;228706
"35059 GUARULHOS";120410;113425;106512;95660;82520;66243;50235;34817;25879;18446;13294;9739;5057;742237
"35060 ITAPECERICA DA SERRA";87128;78050;71474;63960;56189;45325;34233;23188;16533;11596;8011;5863;3310;504860
"35061 SAO PAULO";1279428;1186120;1101847;1034052;935636;790516;632830;467101;376676;297025;239437;191609;107572;8639849
"35062 MOGI DAS CRUZES";112288;101675;96465;89174;77874;62436;47366;33155;25112;18519;13570;10300;5474;693408
"35063 SANTOS";127243;114966;107540;103662;94977;81555;65847;51128;43070;35001;28085;22389;12388;887851
"Total";3651814;3314755;3112376;2958484;2674036;2238081;1792516;1344711;1093207;865895;681484;537949;302776;24568084
